value_date,post_date,details,ref_no,debit,credit,balance
02/01/2025,02/01/2025,NEFT CR/SAL292203588337/INFOSYS/MONTHLY SALARY,CR544694771530,-,"104,282.85","192,060.85"
05/01/2025,06/01/2025,UPI DR/P2P688842323650/PRIYA/P2P TRANSFER,UPI830505999860,"5,382.50",-,"186,678.35"
07/01/2025,08/01/2025,UPI DR/P2P917279464535/ANJALI/P2P TRANSFER,UPI422173262000,"11,054.95",-,"175,623.40"
08/01/2025,08/01/2025,NEFT CR/TRF341306855065/TRANSFER IN,CR764002257405,-,"59,026.30","234,649.70"
08/01/2025,10/01/2025,UPI DR/UPI798711316023/OLA/MERCHANT PAYMENT,DR565469861468,"7,680.64",-,"226,969.06"
10/01/2025,10/01/2025,UPI DR/UPI855938349456/AMAZON/MOBILEAPP,UPI982124749753,"2,089.66",-,"224,879.40"
11/01/2025,12/01/2025,UPI CR/P2P826162549425/RAHUL/P2P RECEIVE,UPI115763613279,-,"7,333.18","232,212.57"
15/01/2025,16/01/2025,NEFT DR/TRF598912037734/SAVINGS TRANSFER,NEFT323184896548,"4,253.09",-,"227,959.48"
18/01/2025,20/01/2025,NEFT CR/TRF316019304733/TRANSFER IN,CR440970718118,-,"38,917.16","266,876.64"
19/01/2025,19/01/2025,UPI CR/UPI302434043275/SNEHA/P2P RECEIVE,UPI286623410365,-,575.48,"267,452.13"
20/01/2025,21/01/2025,NEFT DR/TRF742349859973/ACCOUNT TRANSFER,NEFT761316728216,"40,039.28",-,"227,412.85"
22/01/2025,23/01/2025,NEFT DR/TRF191565884405/ACCOUNT TRANSFER,NEFT176558949427,"3,510.93",-,"223,901.92"
23/01/2025,23/01/2025,CASH DEP/CSH874293153412/BRANCH DEPOSIT,CASH538599789205,-,"31,876.23","255,778.14"
24/01/2025,24/01/2025,UPI DR/P2P778059289215/MEERA/P2P TRANSFER,UPI626184382236,537.80,-,"255,240.34"
24/01/2025,25/01/2025,UPI DR/P2P208817192599/PRIYA/P2P TRANSFER,UPI678542633602,"6,577.69",-,"248,662.65"
26/01/2025,26/01/2025,NEFT DR/TRF299249973323/ACCOUNT TRANSFER,NEFT992227872911,"21,719.74",-,"226,942.91"
28/01/2025,28/01/2025,UPI DR/UPI123997449993/NETFLIX/MERCHANT PAYMENT,DR571085606987,"11,557.99",-,"215,384.92"
28/01/2025,28/01/2025,UPI DR/P2P984646408567/MEERA/P2P TRANSFER,UPI716743696042,"6,732.60",-,"208,652.32"
28/01/2025,28/01/2025,UPI DR/P2P941083074646/PRIYA/P2P TRANSFER,UPI744916526471,"10,440.38",-,"198,211.94"
29/01/2025,29/01/2025,UPI DR/P2P772399351662/SNEHA/P2P TRANSFER,UPI388277454963,"15,645.83",-,"182,566.11"
30/01/2025,31/01/2025,NEFT CR/TRF909107667668/TRANSFER IN,CR558971326525,-,"34,453.39","217,019.50"
01/02/2025,03/02/2025,NEFT CR/TRF190535797049/TRANSFER IN,CR871475734937,-,"46,837.93","263,857.43"
01/02/2025,03/02/2025,UPI DR/UPI424416579417/AIRTEL/MERCHANT PAYMENT,DR367447592606,"2,761.11",-,"261,096.32"
02/02/2025,03/02/2025,UPI DR/UPI181224955101/UBER/MERCHANT PAYMENT,DR805900697039,"10,615.75",-,"250,480.57"
02/02/2025,04/02/2025,UPI DR/UPI265845188508/JIO/MERCHANT PAYMENT,DR927740480494,"4,964.82",-,"245,515.75"
02/02/2025,04/02/2025,UPI CR/P2P516883195244/PRIYA/P2P RECEIVE,UPI171865100753,-,"18,199.36","263,715.10"
03/02/2025,03/02/2025,NEFT CR/SAL197477413167/COGNIZANT/MONTHLY SALARY,CR115162706757,-,"105,075.60","368,790.70"
04/02/2025,05/02/2025,UPI DR/UPI361435381266/UBER/MERCHANT PAYMENT,DR682611965784,"6,515.00",-,"362,275.70"
04/02/2025,05/02/2025,UPI DR/P2P298217493631/AMAN/P2P TRANSFER,UPI335969317642,"15,489.67",-,"346,786.03"
04/02/2025,06/02/2025,UPI DR/UPI259412958779/APOLLO PHARMACY/MERCHANT PAYMENT,DR176962640496,"3,744.23",-,"343,041.80"
06/02/2025,07/02/2025,CHRG DR/FEE646631211330/BANK CHARGE,CHG214335172359,410.37,-,"342,631.43"
07/02/2025,09/02/2025,UPI DR/UPI971793844338/BOOKMYSHOW/MERCHANT PAYMENT,DR397100238173,"10,785.46",-,"331,845.97"
10/02/2025,10/02/2025,CASH DEP/CSH967942303041/BRANCH DEPOSIT,CASH462758372762,-,"33,510.73","365,356.70"
10/02/2025,10/02/2025,UPI CR/P2P783060569165/NEHA/P2P RECEIVE,UPI618880248547,-,"13,099.64","378,456.35"
10/02/2025,11/02/2025,UPI DR/UPI259392734493/APOLLO PHARMACY/MERCHANT PAYMENT,DR202692823164,"2,167.76",-,"376,288.59"
12/02/2025,12/02/2025,CASH DEP/CSH868471947245/BRANCH DEPOSIT,CASH313600016003,-,"39,828.90","416,117.49"
16/02/2025,16/02/2025,UPI CR/P2P899618348756/KARAN/P2P RECEIVE,UPI271973085973,-,"23,505.37","439,622.86"
16/02/2025,17/02/2025,NEFT DR/TRF342918126885/ACCOUNT TRANSFER,NEFT435526663765,"15,232.48",-,"424,390.38"
16/02/2025,17/02/2025,UPI DR/P2P753526851053/ROHAN/P2P TRANSFER,UPI567641829468,"5,044.60",-,"419,345.78"
16/02/2025,18/02/2025,CASH DEP/CSH157224139287/BRANCH DEPOSIT,CASH509846022182,-,"28,801.86","448,147.64"
17/02/2025,19/02/2025,UPI DR/UPI749608496437/AMAZON/MERCHANT PAYMENT,DR237325021818,"10,988.86",-,"437,158.78"
18/02/2025,20/02/2025,NEFT CR/TRF866835396862/TRANSFER IN,CR830638626419,-,"9,836.05","446,994.83"
19/02/2025,20/02/2025,UPI CR/P2P165835068677/AMAN/P2P RECEIVE,UPI179135580380,-,"26,267.91","473,262.75"
20/02/2025,21/02/2025,UPI DR/UPI165583358787/JIO/MERCHANT PAYMENT,DR983088824967,"11,904.53",-,"461,358.22"
20/02/2025,21/02/2025,NEFT DR/TRF865528302851/ACCOUNT TRANSFER,NEFT704787803282,"15,596.12",-,"445,762.10"
20/02/2025,22/02/2025,UPI DR/UPI365326693121/DMART/MERCHANT PAYMENT,DR337925361906,"9,266.68",-,"436,495.42"
20/02/2025,22/02/2025,UPI DR/UPI652332153776/MEDPLUS/MERCHANT PAYMENT,DR462893666331,210.91,-,"436,284.51"
25/02/2025,27/02/2025,UPI DR/P2P222348254735/RAHUL/P2P TRANSFER,UPI116012863254,"14,569.60",-,"421,714.91"
26/02/2025,26/02/2025,UPI DR/UPI435313653575/AMAZON/MERCHANT PAYMENT,DR705495529611,"5,051.03",-,"416,663.88"
27/02/2025,27/02/2025,UPI DR/UPI330836458878/MEDPLUS/MERCHANT PAYMENT,DR409376420406,"11,529.15",-,"405,134.73"
28/02/2025,02/03/2025,CHRG DR/FEE635244359434/BANK CHARGE,CHG652222395134,440.59,-,"404,694.14"
28/02/2025,02/03/2025,UPI CR/P2P390229713744/ROHAN/P2P RECEIVE,UPI570316380284,-,"22,667.65","427,361.79"
