value_date,post_date,details,ref_no,debit,credit,balance
04/01/2025,05/01/2025,IMPS CR/PKT188749084430/FAMILY SUPPORT/AMAN,IMPS893732268126,-,"10,096.48","39,084.48"
04/01/2025,06/01/2025,UPI DR/P2P567552187303/ANJALI/P2P TRANSFER,UPI667484381173,"1,896.35",-,"37,188.13"
05/01/2025,06/01/2025,UPI DR/UPI398086940842/OLA/MERCHANT PAYMENT,DR692384509773,463.96,-,"36,724.17"
07/01/2025,07/01/2025,UPI DR/UPI141165906786/AMAZON/MERCHANT PAYMENT,DR856140826408,615.74,-,"36,108.43"
07/01/2025,07/01/2025,NEFT DR/TRF521026317812/ACCOUNT TRANSFER / TOPUP ADJUST,NEFT152993008487,"13,072.78","3,870.63","26,906.28"
07/01/2025,09/01/2025,CASH DEP/CSH251449652609/BRANCH DEPOSIT,CASH590170047050,-,"1,074.82","27,981.10"
08/01/2025,09/01/2025,UPI CR/P2P789383528946/MEERA/P2P RECEIVE,UPI526457104536,-,"1,165.81","29,146.91"
08/01/2025,10/01/2025,UPI DR/UPI984498234349/BOOKMYSHOW/MERCHANT PAYMENT,DR975307803056,77.34,-,"29,069.57"
09/01/2025,09/01/2025,UPI CR/P2P439880924847/RAHUL/P2P RECEIVE,UPI917999674003,-,"5,089.34","34,158.91"
10/01/2025,10/01/2025,UPI DR/UPI641695100150/BOOKMYSHOW/MERCHANT PAYMENT,DR367186080128,962.74,-,"33,196.17"
10/01/2025,10/01/2025,UPI DR/UPI318831903714/ZOMATO/MOBILEAPP,UPI640934281461,"1,184.92",-,"32,011.25"
13/01/2025,14/01/2025,UPI CR/P2P278475625740/AMAN/P2P RECEIVE,UPI689588109637,-,"4,588.99","36,600.24"
13/01/2025,15/01/2025,NEFT CR/SCH726602675951/SCHOLARSHIP CREDIT,CR162598772491,-,"12,927.49","49,527.73"
14/01/2025,15/01/2025,CHRG DR/FEE948113081630/BANK CHARGE,CHG944413894892,285.11,-,"49,242.62"
15/01/2025,15/01/2025,UPI CR/P2P486243876344/NEHA/P2P RECEIVE,UPI763005970471,-,"2,272.51","51,515.13"
15/01/2025,16/01/2025,NEFT DR/TRF558924657991/SAVINGS TRANSFER,NEFT599115997887,"8,389.05",-,"43,126.08"
15/01/2025,17/01/2025,CASH DEP/CSH938583455467/BRANCH DEPOSIT,CASH987894706693,-,"4,086.01","47,212.09"
16/01/2025,17/01/2025,UPI DR/UPI722692340333/AIRTEL/MERCHANT PAYMENT,DR711920498908,761.64,-,"46,450.45"
16/01/2025,17/01/2025,UPI CR/P2P767941042413/MEERA/P2P RECEIVE,UPI586891227111,-,"3,130.11","49,580.56"
18/01/2025,18/01/2025,UPI DR/P2P868529901825/SNEHA/P2P TRANSFER,UPI400855772275,"4,217.76",-,"45,362.80"
19/01/2025,19/01/2025,UPI CR/UPI555752187768/PRIYA/P2P RECEIVE,UPI241197644245,-,"4,324.64","49,687.44"
19/01/2025,20/01/2025,NEFT DR/TRF227185377450/ACCOUNT TRANSFER / TOPUP ADJUST,NEFT957927447066,"34,687.44","12,227.23","27,227.23"
21/01/2025,23/01/2025,UPI CR/P2P215034312035/SNEHA/P2P RECEIVE,UPI215948877431,-,"4,683.58","31,910.81"
22/01/2025,23/01/2025,UPI DR/UPI342963711208/ZOMATO/MERCHANT PAYMENT,DR115210196562,"1,383.20",-,"30,527.61"
22/01/2025,23/01/2025,UPI DR/UPI924112449487/AIRTEL/MERCHANT PAYMENT,DR860759783692,"1,107.75",-,"29,419.86"
23/01/2025,24/01/2025,CASH DEP/CSH240036009210/BRANCH DEPOSIT,CASH908640357555,-,"4,809.50","34,229.36"
23/01/2025,25/01/2025,UPI DR/UPI635625835668/DMART/MERCHANT PAYMENT,DR125275303080,830.90,-,"33,398.46"
24/01/2025,24/01/2025,UPI DR/P2P838745596747/PRIYA/P2P TRANSFER,UPI667173626260,"3,069.16",-,"30,329.30"
