Date,Details,Ref No/Cheque No,Debit,Credit,Balance
09/01/2025,DEP TFR UPI/CR/700205566330/SARTHAK /BARB/ sarthakksh/UPI 2586030738011 AT 06039 UDGIR,,,132.32,136643.09
10/01/2025,DEP TFR UPI/CR/381979297112/Master S/MAHB/ parthchava/UPI 4787532746447 AT 06039 UDGIR,,,75.74,136718.83
11/01/2025,WDL TFR UPI/DR/741397389778/ANIL ARJ/YESB/ paytmqrt2m/NA 0340496975330 AT 06039 UDGIR,,237.68,,136481.15
12/01/2025,WDL TFR UPI/DR/110430692039/HARSHVAR/YESB/q 493750988/Sent 6494666290410 AT 06039 UDGIR,,28.28,,136452.87
12/01/2025,DEP TFR UPI/CR/201343962398/Master S/MAHB/ parthchava/UPI 0750641075495 AT 06039 UDGIR,,,90.04,136542.91
12/01/2025,DEP TFR UPI/CR/409636580615/Master S/MAHB/ parthchava/UPI 1624722129408 AT 06039 UDGIR,,,270.99,136813.90
13/01/2025,DEP TFR UPI/CR/457974147949/Bhagyash/BARB/ vaniswami1/UPI 1173302936556 AT 06039 UDGIR,,,1318.08,138131.98
13/01/2025,WDL TFR UPI/DR/466503020187/BHARAT K/YESB/q 498875245/Sent 5264395788823 AT 06039 UDGIR,,531.84,,137600.14
14/01/2025,WDL TFR UPI/DR/469546148556/Mrs KANC/YESB/ bharatpe9s/Pay 8195695324993 AT 06039 UDGIR,,371.46,,137228.68
15/01/2025,WDL TFR UPI/DR/382326757495/Master S/MAHB/ 0840572628/UPI 2737974300306 AT 06039 UDGIR,,142.38,,137086.30
16/01/2025,DEP TFR UPI/CR/616818648158/ADITYA K/SBIN/ adityakris/UPI 9013245328920 AT 06039 UDGIR,,,159.60,137245.90
18/01/2025,WDL TFR UPI/DR/489585464060/sai trad/YESB/ paytmqraya/NA 1692656696561 AT 06039 UDGIR,,295.22,,136950.68
18/01/2025,WDL TFR UPI/DR/444555477856/Swiggy Ltd/UTIB /swiggyupi@/Pa 0169235888861 AT 06039 UDGIR,,458.98,,136491.70
20/01/2025,DEP TFR UPI/CR/270630659221/ADITYA A/BARB/9 356138585/Paym 6720713110746 AT 06039 UDGIR,,,590.68,137082.38
21/01/2025,WDL TFR UPI/DR/775209612451/Pawar Pa/UTIB/g pay-12195/Sent 9887787301017 AT 06039 UDGIR,,29.93,,137052.45
22/01/2025,WDL TFR UPI/DR/592711470124/ANIL ARJ/YESB/ paytmqrt2m/NA 2115826584713 AT 06039 UDGIR,,147.89,,136904.56
22/01/2025,WDL TFR UPI/DR/529895364716/HEALTH F/UNBA/ bharatpe.9/Pay 1000688488744 AT 06039 UDGIR,,6.27,,136898.29
23/01/2025,WDL TFR UPI/DR/499996792045/SATENDRA/YESB/p aytmqr6vs/Sent 6469820018511 AT 06039 UDGIR,,48.44,,136849.85
24/01/2025,WDL TFR UPI/DR/572146440184/MANARUL /YESB/q 884624756/Sent 4017029223123 AT 06039 UDGIR,,73.83,,136776.02
26/01/2025,WDL TFR UPI/DR/424573808387/MOHIT SU/BKID/ 3832842659/UPI 3085876775834 AT 06039 UDGIR,,21.61,,136754.41
27/01/2025,DEP TFR UPI/CR/163818206383/Bhagyash/BARB/ vaniswami1/UPI 0410034900398 AT 06039 UDGIR,,,2668.25,139422.66
29/01/2025,WDL TFR UPI/DR/376335218779/Bhagyash/BARB/ vaniswami1/UPI 0947717877881 AT 06039 UDGIR,,379.85,,139042.81
30/01/2025,DEP TFR UPI/CR/822165437729/SARTHAK /BARB/ sarthakksh/UPI 1027270205094 AT 06039 UDGIR,,,221.25,139264.06
30/01/2025,WDL TFR UPI/DR/017580260472/ZOLOSTAY/hdfc/ 3606490934/UPI 5349886600376 AT 06039 UDGIR,,347.72,,138916.34
30/01/2025,WDL TFR UPI/DR/033120390079/ADITYA K/SBIN/ 7865190732/UPI 3431743280299 AT 06039 UDGIR,,15.86,,138900.48
31/01/2025,WDL TFR UPI/DR/152111724773/SAKKUBAI/HDFC/9 834638929/Sent 1997247683320 AT 06039 UDGIR,,395.64,,138504.84
31/01/2025,WDL TFR UPI/DR/684002668629/AARADHYA/YESB/q 952613693/Sent 6234124788086 AT 06039 UDGIR,,18.15,,138486.69
01/02/2025,DEP TFR UPI/CR/781257609572/JAGADISH/UBIN/ jaguswami1/UPI 2370996612316 AT 06039 UDGIR,,,4867.29,143353.98
03/02/2025,WDL TFR UPI/DR/764041988643/Brahmana/SBIN/8 055330003/Sent 6473149899329 AT 06039 UDGIR,,95.39,,143258.59
04/02/2025,WDL TFR UPI/DR/821158939955/CONFIRM /AIRP/c onfirmtic/UPII 0349663161414 AT 06039 UDGIR,,1293.33,,141965.26
05/02/2025,WDL TFR UPI/DR/233671722973/NEW CHIN/FDRL/c hintamani/Sent 7914203602772 AT 06039 UDGIR,,12.57,,141952.69
06/02/2025,WDL TFR UPI/DR/753140838694/VIJAYANA/UTIB/v rlonline@/Sent 0173802500179 AT 06039 UDGIR,,2924.81,,139027.88
07/02/2025,DEP TFR UPI/CR/947938602642/ADITYA K/SBIN/ adityakris/UPI 8724221164694 AT 06039 UDGIR,,,95.88,139123.76
09/02/2025,WDL TFR UPI/DR/630248180973/LAXMI DE/YESB/ bharatpe90/Pay 7868374652629 AT 06039 UDGIR,,43.36,,139080.40
10/02/2025,WDL TFR UPI/DR/985619845453/HEALTH F/YESB/p aytmqr6cv/Sent 9505350325016 AT 06039 UDGIR,,19.13,,139061.27
11/02/2025,DEP TFR UPI/CR/722591157477/ADITYA K/SBIN/ adityakris/UPI 3663551223453 AT 06039 UDGIR,,,240.19,139301.46
11/02/2025,WDL TFR UPI/DR/732539871173/ANIL ARJ/YESB/ paytmqr1dr/NA 4147969669922 AT 06039 UDGIR,,230.80,,139070.66
12/02/2025,WDL TFR UPI/DR/054206858325/AKASH MA/YESB/p aytm.s1mw/Sent 9762610467718 AT 06039 UDGIR,,75.61,,138995.05
12/02/2025,WDL TFR UPI/DR/238640399148/parthcha/MAHB/ parthchava/UPI 0047492211453 AT 06039 UDGIR,,364.77,,138630.28
13/02/2025,WDL TFR UPI/DR/121670763365/Prajakta/PPIW/o mbk.aahb2/Sent 4888405974480 AT 06039 UDGIR,,285.68,,138344.60
14/02/2025,WDL TFR UPI/DR/935177895286/MR SOURA/YESB/q 606711731/Sent 6768152892266 AT 06039 UDGIR,,304.54,,138040.06
15/02/2025,WDL TFR UPI/DR/197212670176/ANIL ARJ/YESB/ paytmqrt2m/NA 7137258185823 AT 06039 UDGIR,,227.89,,137812.17
