Date,Details,Ref No/Cheque No,Debit,Credit,Balance
02/01/2025,WDL TFR UPI/DR/993078678709/ASHWINI /YESB/p aytm.s1sx/Sent 9731747732735 AT 06039 UDGIR,,26.77,,17813.16
05/01/2025,WDL TFR UPI/DR/777027133648/Airtel/YESB/air tel-bil/Airtel 3736110069048 AT 06039 UDGIR,,655.32,,17157.84
08/01/2025,WDL TFR UPI/DR/665709758270/MR ADITY/NESF/ 3852858876/UPI 9271165540187 AT 06039 UDGIR,,261.39,,16896.45
09/01/2025,DEP TFR UPI/CR/314655162186/JAGADISH/UBIN/ jaguswami1/UPI 2673557035791 AT 06039 UDGIR,,,888.11,17784.56
11/01/2025,WDL TFR UPI/DR/476771086792/HARSHAD /YESB/p aytmqr736/Sent 8106927379686 AT 06039 UDGIR,,210.56,,17574.00
13/01/2025,WDL TFR UPI/DR/852909632130/ANIL ARJ/YESB/ paytmqrt2m/NA 6943502260023 AT 06039 UDGIR,,238.15,,17335.85
13/01/2025,WDL TFR UPI/DR/691326817538/SHADAB N/UBIN/i namdarsha/Sent 6189917634104 AT 06039 UDGIR,,184.19,,17151.66
14/01/2025,DEP TFR UPI/CR/833249450926/JAGADISH/UBIN/ jaguswami1/UPI 9859288670666 AT 06039 UDGIR,,,5990.69,23142.35
15/01/2025,WDL TFR UPI/DR/076920927272/Rajesh Sk/YESB/ paytm.s1ar/Sen 0532334549907 AT 06039 UDGIR,,421.41,,22720.94
16/01/2025,WDL TFR UPI/DR/411037451924/Fatema s/YESB/p aytm.s1is/Sent 0924718371011 AT 06039 UDGIR,,26.57,,22694.37
17/01/2025,DEP TFR UPI/CR/441772253772/NEHA HARSH/IBKL/ user33897/UPI 0579439714181 AT 06039 UDGIR,,,2499.77,25194.14
18/01/2025,WDL TFR UPI/DR/131219598879/Mrs KANC/YESB/ bharatpe9s/Pay 6419392325758 AT 06039 UDGIR,,383.07,,24811.07
19/01/2025,WDL TFR UPI/DR/328864810024/SHREE GA/YESB/q 190874553/Sent 1823670616562 AT 06039 UDGIR,,27.61,,24783.46
21/01/2025,WDL TFR UPI/DR/060227686652/ANIL ARJ/YESB/ paytmqrt2m/NA 4426642550582 AT 06039 UDGIR,,104.92,,24678.54
21/01/2025,WDL TFR UPI/DR/753621781594/KRUSHNAI/YESB/q 073263389/Sent 1569512932433 AT 06039 UDGIR,,94.64,,24583.90
22/01/2025,DEP TFR UPI/CR/972382315647/MOHIT SU/BKID/ mohitttade/UPI 5641043531540 AT 06039 UDGIR,,,219.72,24803.62
23/01/2025,DEP TFR UPI/CR/412449647091/PARTH DA/BKID/ parthchava/UPI 7178127583275 AT 06039 UDGIR,,,2420.87,27224.49
