Date,Details,Ref No/Cheque No,Debit,Credit,Balance
14/01/2025,WDL TFR UPI/DR/046568100903/HEALTH F/YESB/p aytmqr6di/Sent 6814253083918 AT 06039 UDGIR,,153.35,,21838.38
14/01/2025,DEP TFR UPI/CR/192059503718/Bhagyash/BARB/ vaniswami1/UPI 7980236835255 AT 06039 UDGIR,,,235.73,22074.11
15/01/2025,DEP TFR UPI/CR/885536670393/Master S/MAHB/ parthchava/UPI 3828890017932 AT 06039 UDGIR,,,153.13,22227.24
15/01/2025,DEP TFR UPI/CR/130694927742/Master S/MAHB/ parthchava/UPI 0791339082985 AT 06039 UDGIR,,,246.00,22473.24
16/01/2025,WDL TFR UPI/DR/388529367806/ADITYA K/SBIN/ 2105537627/UPI 2943094584452 AT 06039 UDGIR,,63.62,,22409.62
16/01/2025,WDL TFR UPI/DR/060589210035/Gajanand/UTIB/g pay-11244/Sent 6623818476088 AT 06039 UDGIR,,121.31,,22288.31
17/01/2025,DEP TFR UPI/CR/242117986551/ADITYA K/SBIN/ adityakris/UPI 0280492259405 AT 06039 UDGIR,,,65.93,22354.24
19/01/2025,DEP TFR UPI/CR/807669460094/JAGADISH/UBIN/ jaguswami1/UPI 9388629700003 AT 06039 UDGIR,,,1775.07,24129.31
19/01/2025,WDL TFR UPI/DR/752510762710/BLINKIT /HDFC/g rofers1pa/Blin 9292525129507 AT 06039 UDGIR,,191.34,,23937.97
19/01/2025,WDL TFR UPI/DR/651940222475/MANARUL /YESB/q 884624756/Sent 9324287574378 AT 06039 UDGIR,,28.88,,23909.09
21/01/2025,WDL TFR UPI/DR/174472560049/PRANITA /YESB/q 349450901/Sent 3224759405647 AT 06039 UDGIR,,1408.67,,22500.42
22/01/2025,WDL TFR UPI/DR/795785091421/High Spi/UTIB/9 823096944/Sent 4389685139334 AT 06039 UDGIR,,267.86,,22232.56
23/01/2025,WDL TFR UPI/DR/817815476236/Pawar Pa/UTIB/g pay-12190/Sent 4611194532907 AT 06039 UDGIR,,80.16,,22152.40
25/01/2025,WDL TFR UPI/DR/409096254535/SHREE GA/YESB/q 369201673/Sent 0182145353760 AT 06039 UDGIR,,13.35,,22139.05
