Date,Details,Ref No/Cheque No,Debit,Credit,Balance
10/01/2025,WDL TFR UPI/DR/895737650584/HEALTH F/YESB/p aytmqr6di/Sent 5157443019523 AT 06039 UDGIR,,210.12,,39177.75
11/01/2025,WDL TFR UPI/DR/297293748085/SHRIMANT/HDFC/v yapar.173/Sent 8803255059548 AT 06039 UDGIR,,15.80,,39161.95
11/01/2025,DEP TFR UPI/CR/500302462881/KUNAL VEDANT/IBKL/ user12929/UPI 1477847960888 AT 06039 UDGIR,,,2056.17,41218.12
11/01/2025,DEP TFR UPI/CR/610633480156/ADITYA K/SBIN/ adityakris/UPI 7042563492478 AT 06039 UDGIR,,,351.65,41569.77
12/01/2025,DEP TFR UPI/CR/763413546287/ADITYA A/BARB/9 356138585/Paym 2493267810554 AT 06039 UDGIR,,,63.88,41633.65
13/01/2025,WDL TFR UPI/DR/287481725808/JAITA RAM/HDFC/ vyapar.169/Sen 9400807750051 AT 06039 UDGIR,,105.78,,41527.87
13/01/2025,DEP TFR UPI/CR/117034063903/ADITYA K/SBIN/ adityakris/UPI 3538327427116 AT 06039 UDGIR,,,2297.56,43825.43
14/01/2025,WDL TFR UPI/DR/393724744679/ANIL ARJ/YESB/ paytmqrt2m/NA 0777999732090 AT 06039 UDGIR,,121.39,,43704.04
16/01/2025,WDL TFR UPI/DR/626012441260/Indian R/YESB/p aytm-6467/Sent 0022743757282 AT 06039 UDGIR,,153.86,,43550.18
17/01/2025,WDL TFR UPI/DR/823657150139/NINGARAJ/YESB/p aytmqr70e/Sent 8446502864364 AT 06039 UDGIR,,106.65,,43443.53
18/01/2025,WDL TFR UPI/DR/869833626848/LAXMAN B/YESB/q 255887348/Sent 9786226507115 AT 06039 UDGIR,,42.47,,43401.06
19/01/2025,WDL TFR UPI/DR/032366590486/ARJUN /YESB/q 544811077/Sent 0897904289733 AT 06039 UDGIR,,226.73,,43174.33
21/01/2025,WDL TFR UPI/DR/684217377407/ANIL ARJ/YESB/ paytmqrt2m/NA 0823775194672 AT 06039 UDGIR,,160.73,,43013.60
21/01/2025,WDL TFR UPI/DR/437196947088/MOHIT SU/BKID/ 0379330184/UPI 6336853105027 AT 06039 UDGIR,,31.42,,42982.18
21/01/2025,WDL TFR UPI/DR/772525217972/PATEL MO/YESB/q 871987038/Sent 3060251405805 AT 06039 UDGIR,,27.30,,42954.88
22/01/2025,WDL TFR UPI/DR/947897322289/Pawar Pa/UTIB/g pay-12190/Sent 3910876217778 AT 06039 UDGIR,,19.63,,42935.25
22/01/2025,WDL TFR UPI/DR/494450327976/BALAJI L/YESB/q 727651097/Sent 6326959664280 AT 06039 UDGIR,,47.41,,42887.84
24/01/2025,WDL TFR UPI/DR/804543045423/ASHWINI /YESB/p aytm.s1sx/Sent 1440177313555 AT 06039 UDGIR,,27.81,,42860.03
26/01/2025,WDL TFR UPI/DR/147798865503/ASHWINI /HDFC/v yapar.175/Sent 0379093929087 AT 06039 UDGIR,,131.01,,42729.02
29/01/2025,WDL TFR UPI/DR/069556701229/NILESH V/YESB/q 445025662/Sent 7159515415202 AT 06039 UDGIR,,228.55,,42500.47
30/01/2025,DEP TFR UPI/CR/168218521531/JAGADISH/UBIN/ jaguswami1/UPI 7512062939327 AT 06039 UDGIR,,,1370.66,43871.13
30/01/2025,WDL TFR UPI/DR/849853084863/AARADHYA/YESB/q 952613693/Sent 2500505049318 AT 06039 UDGIR,,59.17,,43811.96
01/02/2025,DEP TFR UPI/CR/536223292066/Master S/MAHB/ parthchava/UPI 1539782841792 AT 06039 UDGIR,,,432.21,44244.17
02/02/2025,DEP TFR UPI/CR/674628169653/ADITYA K/SBIN/ adityakris/UPI 2833946449858 AT 06039 UDGIR,,,180.39,44424.56
02/02/2025,WDL TFR UPI/DR/807078426016/SUKHSAGA/HDFC/v yapar.169/Sent 4029090908469 AT 06039 UDGIR,,17.93,,44406.63
02/02/2025,WDL TFR UPI/DR/785053814073/HARSHAD /YESB/p aytmqr66y/Sent 2568584150631 AT 06039 UDGIR,,24.69,,44381.94
03/02/2025,DEP TFR UPI/CR/838854603117/VRL/HDFC/vrl.b dpg@h/Online R 5257767895447 AT 06039 UDGIR,,,454.97,44836.91
04/02/2025,DEP TFR UPI/CR/585602316476/ADITYA K/SBIN/ adityakris/UPI 4668964016446 AT 06039 UDGIR,,,389.97,45226.88
06/02/2025,WDL TFR UPI/DR/428939260909/Shukalp /UTIB/9 370456936/Sent 1926818627683 AT 06039 UDGIR,,5841.68,,39385.20
07/02/2025,WDL TFR UPI/DR/337616652368/RAJENTERP/YESB/ q039410539/Sen 3434022276635 AT 06039 UDGIR,,95.43,,39289.77
07/02/2025,DEP TFR UPI/CR/523534052533/MOHIT SU/BKID/ mohitttade/UPI 1792477874701 AT 06039 UDGIR,,,360.98,39650.75
08/02/2025,DEP TFR UPI/CR/629542904736/Master S/MAHB/ 7206017730/NA 8133251533960 AT 06039 UDGIR,,,6873.87,46524.62
09/02/2025,WDL TFR UPI/DR/193904891070/MR PANKA/YESB/q 539878421/Sent 4141489921463 AT 06039 UDGIR,,39.49,,46485.13
09/02/2025,WDL TFR UPI/DR/523882947341/KRUSHNAI/YESB/q 108806304/Sent 9817647549891 AT 06039 UDGIR,,1626.47,,44858.66
10/02/2025,DEP TFR UPI/CR/244031693075/Aditya A/PPIW/9 356138585/Paid 7735672306993 AT 06039 UDGIR,,,199.88,45058.54
12/02/2025,WDL TFR UPI/DR/825493687672/ADITYA K/SBIN/ 3600098320/UPI 5469247860232 AT 06039 UDGIR,,314.06,,44744.48
12/02/2025,WDL TFR UPI/DR/517360048624/RAJENTERP/YESB/ q039410539/Sen 6891942653663 AT 06039 UDGIR,,28.09,,44716.39
13/02/2025,WDL TFR UPI/DR/301842742348/NINGARAJ/YESB/p aytmqr70e/Sent 7436132139290 AT 06039 UDGIR,,71.59,,44644.80
14/02/2025,WDL TFR UPI/DR/834669920972/Mr Popat/YESB/q 324753482/Sent 5367282846991 AT 06039 UDGIR,,58.27,,44586.53
16/02/2025,DEP TFR UPI/CR/109044143620/PARTH DA/BKID/ parthchava/UPI 4146358587297 AT 06039 UDGIR,,,144.86,44731.39
17/02/2025,WDL TFR UPI/DR/304473092992/Blinkit/HDFC/bl inkit.pa/UPIIn 1429525433627 AT 06039 UDGIR,,471.52,,44259.87
17/02/2025,DEP TFR UPI/CR/963083660149/SHRADHA /KVBL/ shradha.na/UPI 2602153450097 AT 06039 UDGIR,,,977.94,45237.81
17/02/2025,WDL TFR UPI/DR/980510588746/ADITYA K/SBIN/ 1101327621/UPI 4592550393467 AT 06039 UDGIR,,277.12,,44960.69
17/02/2025,WDL TFR UPI/DR/755185069058/ANIL ARJ/YESB/ paytmqrt2m/NA 7897943928335 AT 06039 UDGIR,,123.17,,44837.52
18/02/2025,WDL TFR UPI/DR/938633079710/Mrs KANC/YESB/ bharatpe9s/Pay 1249336035687 AT 06039 UDGIR,,121.84,,44715.68
19/02/2025,DEP TFR UPI/CR/945529608919/JAGADISH/UBIN/ jaguswami1/UPI 0051739715106 AT 06039 UDGIR,,,1295.09,46010.77
20/02/2025,WDL TFR UPI/DR/182705458419/High Spi/UTIB/9 823096944/Sent 5477195587134 AT 06039 UDGIR,,242.80,,45767.97
21/02/2025,WDL TFR UPI/DR/450379837298/Shukalp /UTIB/9 370456936/Sent 3598271871679 AT 06039 UDGIR,,5250.93,,40517.04
22/02/2025,DEP TFR UPI/CR/239566911841/JAGADISH/UBIN/ jaguswami1/UPI 6476354915715 AT 06039 UDGIR,,,13730.89,54247.93
22/02/2025,WDL TFR UPI/DR/683616223864/LAXMAN B/YESB/q 255887348/Sent 8578984024296 AT 06039 UDGIR,,30.54,,54217.39
22/02/2025,DEP TFR UPI/CR/349495752305/ADITYA K/SBIN/ adityakris/UPI 5590509760054 AT 06039 UDGIR,,,4417.35,58634.74
23/02/2025,DEP TFR UPI/CR/913174149604/ADITYA K/SBIN/ adityakris/UPI 1202537473578 AT 06039 UDGIR,,,479.86,59114.60
23/02/2025,WDL TFR UPI/DR/882880876585/SHRIMANT/HDFC/v yapar.173/Sent 0335020425350 AT 06039 UDGIR,,17.52,,59097.08
23/02/2025,WDL TFR UPI/DR/382755043302/RAJENTERP/YESB/ q039410539/Sen 2896123793974 AT 06039 UDGIR,,46.69,,59050.39
25/02/2025,WDL TFR UPI/DR/331275197065/Mrs KANC/YESB/ bharatpe9s/Pay 0168811128273 AT 06039 UDGIR,,107.80,,58942.59
25/02/2025,DEP TFR UPI/CR/641155486041/SARTHAK /IPOS/ sarthakksh/UPI 6616851810225 AT 06039 UDGIR,,,120.50,59063.09
25/02/2025,WDL TFR UPI/DR/781590229828/Blinkit/HDFC/bl inkit.pa/UPIIn 0346691846610 AT 06039 UDGIR,,720.87,,58342.22
25/02/2025,WDL TFR UPI/DR/191259560207/HADKE HE/YESB/ paytmqr12b/NA 8144271416519 AT 06039 UDGIR,,230.30,,58111.92
28/02/2025,DEP TFR UPI/CR/591981779688/ADITYA A/BARB/9 356138585/Paym 9984503565682 AT 06039 UDGIR,,,1601.23,59713.15
01/03/2025,WDL TFR UPI/DR/616529027631/SHUBHAM /YESB/q 985887379/Sent 0216395342890 AT 06039 UDGIR,,9.56,,59703.59
01/03/2025,DEP TFR UPI/CR/401563329899/Master S/MAHB/ parthchava/UPI 7593371294378 AT 06039 UDGIR,,,175.39,59878.98
01/03/2025,WDL TFR UPI/DR/245908663234/SEEMA AB/YESB/q 462067017/Sent 4689635232498 AT 06039 UDGIR,,51.33,,59827.65
02/03/2025,WDL TFR UPI/DR/288125418694/KALSE RO/YESB/q 612119179/Sent 1648030889711 AT 06039 UDGIR,,210.65,,59617.00
