Date,Details,Ref No/Cheque No,Debit,Credit,Balance
12/01/2025,DEP TFR UPI/CR/849394756581/ADITYA A/BARB/9 356138585/Paym 5311908446366 AT 06039 UDGIR,,,277.32,4023.86
12/01/2025,WDL TFR UPI/DR/904307233370/Pawar Pa/UTIB/g pay-12190/Sent 6137007577939 AT 06039 UDGIR,,35.82,,3988.04
13/01/2025,WDL TFR UPI/DR/475265741401/Karan Ba/YESB/p aytmqr6ic/Sent 5813281677999 AT 06039 UDGIR,,36.55,,3951.49
16/01/2025,DEP TFR UPI/CR/347439420793/ADITYA K/SBIN/ adityakris/UPI 3525832248609 AT 06039 UDGIR,,,291.71,4243.20
18/01/2025,DEP TFR UPI/CR/516070651284/ADITYA K/SBIN/ adityakris/UPI 5272011890411 AT 06039 UDGIR,,,266.81,4510.01
19/01/2025,WDL TFR UPI/DR/836875274830/SEEMA AB/YESB/q 216671691/Sent 8450238232536 AT 06039 UDGIR,,20.13,,4489.88
20/01/2025,DEP TFR UPI/CR/577469533587/PARTH DA/PPIW/8 262854390/Paid 3690385836598 AT 06039 UDGIR,,,14.51,4504.39
20/01/2025,WDL TFR UPI/DR/608657770223/MR SOURA/YESB/q 415633514/Sent 1502035833435 AT 06039 UDGIR,,336.83,,4167.56
20/01/2025,DEP TFR UPI/CR/319994436970/PARTH DA/BKID/ parthchava/UPI 4867744505055 AT 06039 UDGIR,,,108.74,4276.30
20/01/2025,DEP TFR UPI/CR/447803866586/JAGADISH/UBIN/ jaguswami1/UPI 3138665405955 AT 06039 UDGIR,,,904.18,5180.48
20/01/2025,WDL TFR UPI/DR/581444347684/Mr SANTO/YESB/q 699077234/Sent 5762049696701 AT 06039 UDGIR,,30.82,,5149.66
21/01/2025,WDL TFR UPI/DR/920289002619/JAITA RAM/HDFC/ vyapar.169/Sen 5591363990554 AT 06039 UDGIR,,168.39,,4981.27
24/01/2025,DEP TFR UPI/CR/931607723650/JAGADISH/UBIN/ jaguswami1/UPI 9215438566635 AT 06039 UDGIR,,,701.85,5683.12
24/01/2025,WDL TFR UPI/DR/211439862052/OM SAI P/YESB/p aytmqr6u7/Sent 0028121291930 AT 06039 UDGIR,,20.50,,5662.62
24/01/2025,DEP TFR UPI/CR/234656309442/Bhagyash/BARB/ vaniswami1/UPI 4602813078365 AT 06039 UDGIR,,,259.26,5921.88
25/01/2025,DEP TFR UPI/CR/712068072106/SARTHAK /IPOS/ sarthakksh/UPI 2523678602017 AT 06039 UDGIR,,,28.29,5950.17
26/01/2025,WDL TFR UPI/DR/186379405070/SATENDRA/YESB/p aytmqr6vs/Sent 4122630837536 AT 06039 UDGIR,,33.48,,5916.69
29/01/2025,WDL TFR UPI/DR/226558959085/Pawar Pa/UTIB/g pay-12190/Sent 2158897940121 AT 06039 UDGIR,,47.40,,5869.29
29/01/2025,WDL TFR UPI/DR/138656965116/TUSHAR D/YESB/p aytmqr6p3/Sent 6429674188298 AT 06039 UDGIR,,125.62,,5743.67
29/01/2025,WDL TFR UPI/DR/085998881506/Pawar Pa/UTIB/g pay-12195/Sent 8885077751331 AT 06039 UDGIR,,49.73,,5693.94
31/01/2025,DEP TFR UPI/CR/989798763243/AWS India/RATN/ amazon.ref/Ref 6083082794436 AT 06039 UDGIR,,,1.83,5695.77
01/02/2025,DEP TFR UPI/CR/894922087706/JAGADISH/UBIN/ jaguswami1/UPI 5025210860665 AT 06039 UDGIR,,,220.81,5916.58
02/02/2025,WDL TFR UPI/DR/521019262581/SEEMA AB/YESB/q 927376420/Sent 6268536198338 AT 06039 UDGIR,,36.28,,5880.30
03/02/2025,WDL TFR UPI/DR/826956604215/SOWMYA/YESB/bha ratpe9j/Pay to 9182420292593 AT 06039 UDGIR,,11.80,,5868.50
03/02/2025,WDL TFR UPI/DR/564428852114/ADITYA A/BARB/ 2708802471/UPI 8424226092826 AT 06039 UDGIR,,15.34,,5853.16
03/02/2025,WDL TFR UPI/DR/750096504862/Amararam/YESB/q 258628952/Sent 3865225338533 AT 06039 UDGIR,,89.35,,5763.81
05/02/2025,DEP TFR UPI/CR/166833764925/ADITYA K/SBIN/ adityakris/UPI 0864800464121 AT 06039 UDGIR,,,348.95,6112.76
05/02/2025,WDL TFR UPI/DR/432494826420/RAJENTERP/YESB/ q039410539/Sen 2135857804451 AT 06039 UDGIR,,222.85,,5889.91
05/02/2025,DEP TFR UPI/CR/919435368763/ADITYA K/SBIN/ adityakris/UPI 7949136740065 AT 06039 UDGIR,,,16.01,5905.92
05/02/2025,DEP TFR UPI/CR/449559592716/PARTH DA/PPIW/8 262854390/Paid 9262431537376 AT 06039 UDGIR,,,103.21,6009.13
07/02/2025,DEP TFR UPI/CR/246855840648/ADITYA A/BARB/9 356138585/Paym 4804800126537 AT 06039 UDGIR,,,3.69,6012.82
08/02/2025,WDL TFR UPI/DR/147357336145/ANIL ARJ/YESB/ paytmqrt2m/NA 0655044861204 AT 06039 UDGIR,,306.55,,5706.27
09/02/2025,WDL TFR UPI/DR/632804790034/SHREE GA/YESB/q 190874553/Sent 3326531298827 AT 06039 UDGIR,,125.41,,5580.86
09/02/2025,DEP TFR UPI/CR/671270116330/JAGADISH/UBIN/ jaguswami1/UPI 0950654585831 AT 06039 UDGIR,,,2579.37,8160.23
10/02/2025,WDL TFR UPI/DR/451592036738/MR SOURA/YESB/q 606711731/Sent 0663167692245 AT 06039 UDGIR,,798.43,,7361.80
11/02/2025,WDL TFR UPI/DR/150787344840/Master S/MAHB/ 2119288916/UPI 3163865216420 AT 06039 UDGIR,,168.27,,7193.53
12/02/2025,DEP TFR UPI/CR/324073314568/ADITYA K/SBIN/ adityakris/UPI 0130095243074 AT 06039 UDGIR,,,57.63,7251.16
13/02/2025,WDL TFR UPI/DR/369139907130/ADITYA K/SBIN/ 8146653469/UPI 6316893044068 AT 06039 UDGIR,,188.26,,7062.90
15/02/2025,WDL TFR UPI/DR/950956202676/ANIL ARJ/YESB/ paytmqrt2m/NA 4124938415829 AT 06039 UDGIR,,101.34,,6961.56
15/02/2025,DEP TFR UPI/CR/014778691529/VINAYKUM/SBIN/ vkshock486/UPI 3876821082174 AT 06039 UDGIR,,,952.47,7914.03
15/02/2025,WDL TFR UPI/DR/351707124628/NEW CHIN/FDRL/c hintamani/Sent 3118957484768 AT 06039 UDGIR,,6.22,,7907.81
15/02/2025,WDL TFR UPI/DR/245701581744/MOHIT SU/BKID/ 5157825978/UPI 1208337283560 AT 06039 UDGIR,,120.25,,7787.56
17/02/2025,WDL TFR UPI/DR/830941725606/Pawar Pa/UTIB/g pay-12195/Sent 1229158995329 AT 06039 UDGIR,,65.83,,7721.73
