Date,Details,Ref No/Cheque No,Debit,Credit,Balance
08/01/2025,WDL TFR UPI/DR/340128429528/PATEL MO/YESB/q 871987038/Sent 5512918875639 AT 06039 UDGIR,,44.84,,147916.20
10/01/2025,WDL TFR UPI/DR/863674053258/DINESH B/YESB/q 685713653/Sent 7647164081922 AT 06039 UDGIR,,53.60,,147862.60
10/01/2025,DEP TFR UPI/CR/034305096097/MOHIT SU/BKID/ mohitttade/UPI 2871698523259 AT 06039 UDGIR,,,57.45,147920.05
10/01/2025,WDL TFR UPI/DR/136612272822/MOHIT SU/BKID/ 9133609106/UPI 6617178774066 AT 06039 UDGIR,,37.02,,147883.03
11/01/2025,WDL TFR UPI/DR/440408418380/ANIL ARJ/YESB/ paytmqrt2m/NA 4194136056385 AT 06039 UDGIR,,268.02,,147615.01
12/01/2025,WDL TFR UPI/DR/197197799709/RAJENTERP/YESB/ q039410539/Sen 3454142657182 AT 06039 UDGIR,,128.84,,147486.17
13/01/2025,WDL TFR UPI/DR/066902923482/Karan Ba/YESB/p aytmqr6ic/Sent 4758772752912 AT 06039 UDGIR,,24.26,,147461.91
14/01/2025,DEP TFR UPI/CR/549139943757/JAGADISH/UBIN/ jaguswami1/UPI 7136131534767 AT 06039 UDGIR,,,2808.32,150270.23
15/01/2025,WDL TFR UPI/DR/964150146480/Karan Ba/YESB/p aytmqr6ic/Sent 5677927555000 AT 06039 UDGIR,,68.08,,150202.15
17/01/2025,WDL TFR UPI/DR/600183081705/Mr PRAMO/YESB/q 203287168/Sent 1246852136611 AT 06039 UDGIR,,49.83,,150152.32
19/01/2025,WDL TFR UPI/DR/239947816856/ANIL ARJ/YESB/ paytmqrt2m/NA 5382035056146 AT 06039 UDGIR,,166.40,,149985.92
19/01/2025,DEP TFR UPI/CR/660382501180/MOHIT SU/BKID/ mohitttade/UPI 6975074438042 AT 06039 UDGIR,,,322.71,150308.63
20/01/2025,DEP TFR UPI/CR/499002173357/ADITYA A/BARB/9 356138585/Paym 1208349300267 AT 06039 UDGIR,,,6.21,150314.84
21/01/2025,DEP TFR UPI/CR/552938352795/JAGADISH/UBIN/9 422968385/Paym 0806789179329 AT 06039 UDGIR,,,702.70,151017.54
22/01/2025,WDL TFR UPI/DR/536036853990/Amazon P/RATN/a mazon-pod/Sent 9977321235369 AT 06039 UDGIR,,282.34,,150735.20
23/01/2025,WDL TFR UPI/DR/739291157809/SWIGGY/ICIC/upi swiggy@/Sent u 4545178259046 AT 06039 UDGIR,,233.96,,150501.24
24/01/2025,WDL TFR UPI/DR/505806516566/ADITYA A/BARB/ 9327302874/UPI 8822977476229 AT 06039 UDGIR,,145.55,,150355.69
24/01/2025,DEP TFR UPI/CR/302901314584/JAGADISH/UBIN/ jaguswami1/UPI 9965945522132 AT 06039 UDGIR,,,925.07,151280.76
25/01/2025,WDL TFR UPI/DR/771083481429/SHREE GA/YESB/q 506267509/Sent 8566441937492 AT 06039 UDGIR,,25.80,,151254.96
26/01/2025,DEP TFR UPI/CR/963504119939/SARTHAK /IPOS/ sarthakksh/UPI 0883697110136 AT 06039 UDGIR,,,142.95,151397.91
27/01/2025,WDL TFR UPI/DR/190527958407/ADITYA A/BARB/ 7531764284/UPI 5611102470688 AT 06039 UDGIR,,2.62,,151395.29
28/01/2025,WDL TFR UPI/DR/280866981220/upi juspay/YESB /paytm-7620/Tr 2339335339548 AT 06039 UDGIR,,901.21,,150494.08
29/01/2025,WDL TFR UPI/DR/493963318351/AARADHYA/YESB/ Q249889190/UPI 9902033931816 AT 06039 UDGIR,,46.82,,150447.26
01/02/2025,WDL TFR UPI/DR/796264195418/HARSHAD /YESB/p aytmqr736/Sent 6826058972849 AT 06039 UDGIR,,174.69,,150272.57
01/02/2025,WDL TFR UPI/DR/921383056863/Mr NINGA/FDRL/ bharatpe.9/Pay 6702377108885 AT 06039 UDGIR,,58.39,,150214.18
02/02/2025,WDL TFR UPI/DR/454770976768/Gajanand/UTIB/g pay-11244/Sent 9178909282658 AT 06039 UDGIR,,115.34,,150098.84
03/02/2025,DEP TFR UPI/CR/375479650331/SHRADHA /KVBL/ shradha.na/UPI 3694780703939 AT 06039 UDGIR,,,343.87,150442.71
03/02/2025,WDL TFR UPI/DR/784241720932/RABIND/YESB/q34 2758074/Sent u 5456927649065 AT 06039 UDGIR,,43.15,,150399.56
