Date,Details,Ref No/Cheque No,Debit,Credit,Balance
16/01/2025,WDL TFR UPI/DR/308103041392/OM SAI P/YESB/p aytmqr6u7/Sent 2842676180634 AT 06039 UDGIR,,18.56,,35573.31
18/01/2025,DEP TFR UPI/CR/564513138261/MOHIT SU/BKID/ mohitttade/UPI 4431013814818 AT 06039 UDGIR,,,80.35,35653.66
19/01/2025,DEP TFR UPI/CR/190915991957/SARTHAK /IPOS/ sarthakksh/UPI 2317130646808 AT 06039 UDGIR,,,22.32,35675.98
22/01/2025,WDL TFR UPI/DR/059264839001/FAISAL I/YESB/p aytm.s184/Sent 6581424038857 AT 06039 UDGIR,,176.03,,35499.95
22/01/2025,WDL TFR UPI/DR/340547957643/SEEMA AB/YESB/q 268952477/Sent 7011506429190 AT 06039 UDGIR,,66.20,,35433.75
24/01/2025,WDL TFR UPI/DR/123606620518/MANARUL /YESB/q 547511241/Sent 4742098283641 AT 06039 UDGIR,,46.16,,35387.59
26/01/2025,WDL TFR UPI/DR/146588737886/MR SOURA/YESB/q 893257851/Sent 5862781564162 AT 06039 UDGIR,,485.98,,34901.61
28/01/2025,WDL TFR UPI/DR/836175451757/ELEVATE /YESB/q 785630458/Sent 0215805575215 AT 06039 UDGIR,,78.02,,34823.59
29/01/2025,WDL TFR UPI/DR/100191994163/RAJENTERP/YESB/ q039410539/Sen 3373822400576 AT 06039 UDGIR,,24.85,,34798.74
31/01/2025,WDL TFR UPI/DR/820837262210/Master S/MAHB/ 4377651697/UPI 7656364250144 AT 06039 UDGIR,,130.35,,34668.39
31/01/2025,WDL TFR UPI/DR/694547275156/Mr SANTO/YESB/q 699077234/Sent 7346795043892 AT 06039 UDGIR,,39.45,,34628.94
03/02/2025,WDL TFR UPI/DR/420883617271/Shankar /YESB/p aytm.s1tn/Sent 4877430466642 AT 06039 UDGIR,,57.63,,34571.31
03/02/2025,WDL TFR UPI/DR/371478617359/ANIL ARJ/YESB/ paytmqrt2m/NA 1014762880915 AT 06039 UDGIR,,242.79,,34328.52
04/02/2025,WDL TFR UPI/DR/761174058134/upi juspay/YESB /paytm-7620/Tr 5870078624109 AT 06039 UDGIR,,1011.05,,33317.47
