Date,Details,Ref No/Cheque No,Debit,Credit,Balance
07/01/2025,WDL TFR UPI/DR/727399224409/LAZYPAY /AIRP/l azypayrep/Lazy 9581695823271 AT 06039 UDGIR,,287.12,,30685.32
07/01/2025,WDL TFR UPI/DR/109848401418/Pawar Pa/UTIB/g pay-12190/Sent 9040420283383 AT 06039 UDGIR,,70.18,,30615.14
07/01/2025,WDL TFR UPI/DR/137843983950/MR SOURA/YESB/q 893257851/Sent 0574657288202 AT 06039 UDGIR,,484.35,,30130.79
08/01/2025,WDL TFR UPI/DR/269729152301/RENUKAPR/SBIN/ 1040434756/UPI 0417859888045 AT 06039 UDGIR,,135.72,,29995.07
08/01/2025,WDL TFR UPI/DR/488437449469/Mr WASEE/YESB/q 249278870/Sent 2578424520971 AT 06039 UDGIR,,518.76,,29476.31
09/01/2025,WDL TFR UPI/DR/942297730372/ALINA WI/HDFC/a linawines/Sent 7601662741105 AT 06039 UDGIR,,3953.91,,25522.40
11/01/2025,WDL TFR UPI/DR/496661933005/ADITYA K/SBIN/ 3776313234/UPI 3606824024729 AT 06039 UDGIR,,134.16,,25388.24
11/01/2025,DEP TFR UPI/CR/583980857796/Bhagyash/BARB/ vaniswami1/UPI 1687116960442 AT 06039 UDGIR,,,762.12,26150.36
13/01/2025,DEP TFR UPI/CR/302401047183/KUNAL PRANAV/IBKL/ user08605/UPI 5561904473920 AT 06039 UDGIR,,,1346.67,27497.03
14/01/2025,WDL TFR UPI/DR/893026712743/RAJENTERP/YESB/ q039410539/Sen 0822551979180 AT 06039 UDGIR,,26.48,,27470.55
14/01/2025,WDL TFR UPI/DR/454731604067/SHREE GA/YESB/q 369201673/Sent 6222986677626 AT 06039 UDGIR,,33.10,,27437.45
15/01/2025,WDL TFR UPI/DR/828041113421/MANARUL /YESB/q 884624756/Sent 6484836168888 AT 06039 UDGIR,,99.88,,27337.57
16/01/2025,DEP TFR UPI/CR/651276728146/ADITYA A/BARB/9 356138585/Paym 9368524022096 AT 06039 UDGIR,,,3.98,27341.55
18/01/2025,WDL TFR UPI/DR/546816453599/MANARUL /YESB/q 547511241/Sent 6533333823326 AT 06039 UDGIR,,96.57,,27244.98
19/01/2025,DEP TFR UPI/CR/922430761613/SHRADHA /KVBL/ shradha.na/UPI 3726089873098 AT 06039 UDGIR,,,610.42,27855.40
19/01/2025,WDL TFR UPI/DR/847168868995/ANIL ARJ/YESB/ paytmqrt2m/NA 8348985436343 AT 06039 UDGIR,,107.48,,27747.92
20/01/2025,WDL TFR UPI/DR/557581282310/ZOMATO/HDFC/pay zomato@/Sent u 1887023920578 AT 06039 UDGIR,,360.22,,27387.70
22/01/2025,WDL TFR UPI/DR/809253121627/Amararam/YESB/q 258628952/Sent 7041211334501 AT 06039 UDGIR,,40.42,,27347.28
23/01/2025,WDL TFR UPI/DR/374187085341/MR SOURA/YESB/q 606711731/Sent 8001811256301 AT 06039 UDGIR,,259.58,,27087.70
25/01/2025,DEP TFR UPI/CR/091852413043/PARTH DA/BKID/ parthchava/UPI 0773659395388 AT 06039 UDGIR,,,408.60,27496.30
