value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,02/01/2025,NEFT CR/TRF473705870307/TRANSFER IN,CR945966040886,-,"38,186.91","93,286.91"
02/01/2025,03/01/2025,NEFT CR/SAL825573151605/COGNIZANT/MONTHLY SALARY,CR203925053799,-,"120,534.00","213,820.91"
02/01/2025,04/01/2025,NEFT DR/TRF994989532336/ACCOUNT TRANSFER,NEFT225835922582,"32,463.93",-,"181,356.98"
05/01/2025,06/01/2025,NEFT DR/TRF943080605410/ACCOUNT TRANSFER,NEFT861755041430,"38,760.16",-,"142,596.82"
10/01/2025,10/01/2025,UPI DR/UPI572063943392/ZOMATO/MOBILEAPP,UPI443136928025,"1,829.69",-,"140,767.13"
11/01/2025,13/01/2025,UPI DR/P2P836811054276/PRIYA/P2P TRANSFER,UPI224037840217,"16,257.52",-,"124,509.61"
12/01/2025,13/01/2025,UPI DR/UPI188934262576/MEDPLUS/MERCHANT PAYMENT,DR935574348604,"7,484.74",-,"117,024.87"
12/01/2025,13/01/2025,UPI CR/P2P956010133309/NEHA/P2P RECEIVE,UPI989457290338,-,"10,457.86","127,482.73"
13/01/2025,14/01/2025,NEFT CR/TRF973272871649/TRANSFER IN,CR628151582264,-,"54,061.87","181,544.60"
13/01/2025,14/01/2025,UPI DR/P2P485219030371/ANJALI/P2P TRANSFER,UPI479994189758,"8,828.64",-,"172,715.96"
15/01/2025,16/01/2025,NEFT DR/TRF939910038350/SAVINGS TRANSFER,NEFT710007582726,"9,757.39",-,"162,958.57"
15/01/2025,17/01/2025,NEFT CR/TRF467925831435/TRANSFER IN,CR316091102156,-,"9,308.43","172,267.00"
18/01/2025,18/01/2025,NEFT CR/TRF169564174443/TRANSFER IN,CR201103217346,-,"40,378.67","212,645.67"
18/01/2025,20/01/2025,NEFT CR/TRF775266797665/TRANSFER IN,CR160986621012,-,"20,473.43","233,119.10"
19/01/2025,19/01/2025,UPI DR/UPI805287975640/JIO/MERCHANT PAYMENT,DR280937465881,"6,787.45",-,"226,331.65"
19/01/2025,19/01/2025,UPI DR/UPI252905051595/BOOKMYSHOW/MERCHANT PAYMENT,DR504570285302,"4,400.81",-,"221,930.84"
19/01/2025,19/01/2025,UPI DR/UPI649097352401/MEDPLUS/MERCHANT PAYMENT,DR613698826821,"11,154.58",-,"210,776.26"
19/01/2025,19/01/2025,UPI CR/UPI272937815314/ROHAN/P2P RECEIVE,UPI834011173024,-,"5,577.98","216,354.24"
19/01/2025,20/01/2025,NEFT CR/TRF823118023022/TRANSFER IN,CR279672391727,-,"45,169.76","261,524.00"
20/01/2025,21/01/2025,UPI DR/P2P452259398808/RAHUL/P2P TRANSFER,UPI537822610837,"7,770.03",-,"253,753.97"
21/01/2025,21/01/2025,UPI DR/P2P434052427437/KARAN/P2P TRANSFER,UPI702927939708,"24,410.34",-,"229,343.63"
21/01/2025,22/01/2025,NEFT DR/TRF572144441693/ACCOUNT TRANSFER,NEFT664839030467,"44,322.45",-,"185,021.18"
21/01/2025,23/01/2025,NEFT DR/TRF949552003191/ACCOUNT TRANSFER,NEFT605378107370,"46,356.25",-,"138,664.93"
22/01/2025,24/01/2025,UPI DR/P2P333340586152/ANJALI/P2P TRANSFER,UPI365577406793,"16,730.90",-,"121,934.03"
23/01/2025,25/01/2025,UPI DR/UPI523029035228/AIRTEL/MERCHANT PAYMENT,DR272128383931,"3,013.57",-,"118,920.46"
24/01/2025,24/01/2025,UPI DR/UPI266641182242/BIGBASKET/MERCHANT PAYMENT,DR404700504256,"7,106.13",-,"111,814.33"
24/01/2025,24/01/2025,UPI DR/UPI494275051626/BIGBASKET/MERCHANT PAYMENT,DR784736555809,"6,406.66",-,"105,407.67"
24/01/2025,24/01/2025,UPI DR/P2P347521604975/RAHUL/P2P TRANSFER,UPI435443859246,"1,219.08",-,"104,188.59"
25/01/2025,25/01/2025,UPI DR/UPI717028103183/OLA/MERCHANT PAYMENT,DR977169818569,"5,821.43",-,"98,367.16"
25/01/2025,25/01/2025,UPI DR/P2P353377894289/KARAN/P2P TRANSFER,UPI233558736028,"2,841.10",-,"95,526.06"
26/01/2025,26/01/2025,NEFT CR/TRF750066502608/TRANSFER IN,CR943487538306,-,"36,999.16","132,525.22"
26/01/2025,26/01/2025,UPI DR/P2P438049972307/NEHA/P2P TRANSFER,UPI464776912731,"11,443.25",-,"121,081.97"
27/01/2025,27/01/2025,UPI DR/UPI368165127649/SPOTIFY/MERCHANT PAYMENT,DR415049590337,"6,887.43",-,"114,194.54"
28/01/2025,28/01/2025,UPI DR/UPI200792172766/NETFLIX/MERCHANT PAYMENT,DR634268785574,"3,265.29",-,"110,929.25"
28/01/2025,28/01/2025,UPI DR/P2P677155171158/RAHUL/P2P TRANSFER,UPI988709679253,"1,002.05",-,"109,927.20"
29/01/2025,29/01/2025,NEFT DR/TRF632544840473/ACCOUNT TRANSFER,NEFT677210215493,"19,282.47",-,"90,644.73"
29/01/2025,29/01/2025,UPI CR/P2P877420860747/KARAN/P2P RECEIVE,UPI480704533783,-,"13,044.17","103,688.90"
29/01/2025,30/01/2025,NEFT DR/TRF949565449226/ACCOUNT TRANSFER,NEFT699038454348,"20,001.27",-,"83,687.63"
29/01/2025,31/01/2025,NEFT DR/TRF793842502322/ACCOUNT TRANSFER,NEFT226389184869,"9,694.19",-,"73,993.44"
30/01/2025,30/01/2025,CASH DEP/CSH633973136905/BRANCH DEPOSIT,CASH778712684354,-,"24,267.03","98,260.47"
01/02/2025,01/02/2025,CHRG DR/FEE836498614785/BANK CHARGE,CHG902758841699,315.44,-,"97,945.03"
01/02/2025,02/02/2025,UPI DR/P2P268795076150/AMAN/P2P TRANSFER,UPI711072838369,"23,834.83",-,"74,110.20"
01/02/2025,03/02/2025,UPI CR/P2P271471177360/MEERA/P2P RECEIVE,UPI853016689527,-,"15,880.48","89,990.68"
02/02/2025,02/02/2025,CASH DEP/CSH101085713147/BRANCH DEPOSIT,CASH903481161300,-,"6,966.92","96,957.60"
03/02/2025,03/02/2025,UPI DR/P2P684361458411/KARAN/P2P TRANSFER,UPI669456357876,"11,584.92",-,"85,372.68"
03/02/2025,04/02/2025,NEFT CR/SAL790100031495/TECH MAHINDRA/MONTHLY SALARY,CR861981696598,-,"125,045.00","210,417.68"
03/02/2025,05/02/2025,NEFT CR/TRF680095167199/TRANSFER IN,CR177732848331,-,"22,783.20","233,200.88"
04/02/2025,04/02/2025,NEFT DR/TRF454680334378/ACCOUNT TRANSFER,NEFT787016288814,"5,789.43",-,"227,411.45"
04/02/2025,05/02/2025,CHRG DR/FEE251307863082/BANK CHARGE,CHG405017362246,12.67,-,"227,398.78"
05/02/2025,06/02/2025,UPI DR/UPI339607217876/OLA/MERCHANT PAYMENT,DR821424276511,"1,559.95",-,"225,838.83"
06/02/2025,06/02/2025,CHRG DR/FEE353160090681/BANK CHARGE,CHG917062475317,331.94,-,"225,506.89"
08/02/2025,10/02/2025,UPI DR/UPI616039510002/OLA/MERCHANT PAYMENT,DR359042577622,"6,025.29",-,"219,481.60"
08/02/2025,10/02/2025,UPI DR/UPI571979335536/BOOKMYSHOW/MERCHANT PAYMENT,DR393949162095,"2,248.26",-,"217,233.34"
10/02/2025,11/02/2025,CASH DEP/CSH674673297079/BRANCH DEPOSIT,CASH684321262074,-,"20,562.10","237,795.44"
11/02/2025,12/02/2025,CHRG DR/FEE178851694847/BANK CHARGE,CHG174725181879,439.70,-,"237,355.74"
11/02/2025,12/02/2025,UPI DR/P2P796626078079/NEHA/P2P TRANSFER,UPI282699177281,"9,848.67",-,"227,507.07"
14/02/2025,14/02/2025,UPI DR/UPI648957407006/UBER/MERCHANT PAYMENT,DR555798390694,"4,969.82",-,"222,537.25"
14/02/2025,16/02/2025,UPI DR/UPI638177469967/FLIPKART/MERCHANT PAYMENT,DR328940615968,608.81,-,"221,928.44"
15/02/2025,15/02/2025,UPI DR/UPI439154369176/BOOKMYSHOW/MERCHANT PAYMENT,DR384822103619,"11,284.76",-,"210,643.68"
15/02/2025,16/02/2025,CHRG DR/FEE224673647326/BANK CHARGE,CHG293564328347,61.75,-,"210,581.93"
15/02/2025,17/02/2025,UPI DR/UPI230378957149/OLA/MERCHANT PAYMENT,DR578959028071,"8,084.63",-,"202,497.30"
18/02/2025,20/02/2025,UPI DR/P2P504261335170/MEERA/P2P TRANSFER,UPI904395851477,"12,815.75",-,"189,681.55"
19/02/2025,21/02/2025,NEFT DR/TRF868163654795/ACCOUNT TRANSFER,NEFT393565387488,"46,646.52",-,"143,035.03"
