Date,Details,Ref No/Cheque No,Debit,Credit,Balance
10/01/2025,WDL TFR UPI/DR/305001234099/Mrs KANC/YESB/ bharatpe9s/Pay 8125670134036 AT 06039 UDGIR,,46.34,,12222.07
12/01/2025,WDL TFR UPI/DR/228112530964/RAJENTERP/YESB/ q039410539/Sen 7031800556283 AT 06039 UDGIR,,17.99,,12204.08
13/01/2025,DEP TFR UPI/CR/366380154146/SARTHAK /IPOS/ sarthakksh/UPI 2238879083253 AT 06039 UDGIR,,,83.91,12287.99
13/01/2025,WDL TFR UPI/DR/222715048925/MAHESH V/FDRL/ bharatpe.9/Pay 2773907043016 AT 06039 UDGIR,,179.92,,12108.07
14/01/2025,WDL TFR UPI/DR/108975480011/RAHUL UT/UBIN/7 972044682/Sent 5494412399137 AT 06039 UDGIR,,157.85,,11950.22
15/01/2025,WDL TFR UPI/DR/063799835933/PARTH DA/BKID/ parthchava/UPI 8247426507435 AT 06039 UDGIR,,311.86,,11638.36
15/01/2025,WDL TFR UPI/DR/646491734676/MR ADITY/NESF/ 5488598254/UPI 0212902950775 AT 06039 UDGIR,,94.08,,11544.28
17/01/2025,WDL TFR UPI/DR/233977501456/BHARAT K/YESB/q 498875245/Sent 5646872633847 AT 06039 UDGIR,,635.45,,10908.83
19/01/2025,DEP TFR UPI/CR/053122124951/Bhagyash/BARB/ vaniswami1/UPI 5826240751532 AT 06039 UDGIR,,,1328.48,12237.31
21/01/2025,DEP TFR UPI/CR/751874313930/JAGADISH/UBIN/ jaguswami1/UPI 2774970550202 AT 06039 UDGIR,,,5221.30,17458.61
23/01/2025,DEP TFR UPI/CR/494270102216/MOHIT SU/BKID/ mohitttade/UPI 0961834907041 AT 06039 UDGIR,,,36.45,17495.06
23/01/2025,WDL TFR UPI/DR/310341462881/MANARUL /YESB/q 547511241/Sent 7845421790855 AT 06039 UDGIR,,161.63,,17333.43
24/01/2025,WDL TFR UPI/DR/176867715952/Kalbhor /KKBK/0 791752a02/3030 0561077417781 AT 06039 UDGIR,,13.07,,17320.36
25/01/2025,WDL TFR UPI/DR/894376546202/ANIL ARJ/YESB/ paytmqrt2m/NA 0537769422829 AT 06039 UDGIR,,201.78,,17118.58
28/01/2025,WDL TFR UPI/DR/156319723442/HADKE HE/YESB/ paytmqr12b/NA 2495324918384 AT 06039 UDGIR,,164.01,,16954.57
28/01/2025,WDL TFR UPI/DR/365747771661/Prajakta/PPIW/o mbk.aaep5/Sent 5907298595896 AT 06039 UDGIR,,456.82,,16497.75
29/01/2025,WDL TFR UPI/DR/149345113279/MR SOURA/YESB/q 868364515/Sent 8202702654283 AT 06039 UDGIR,,475.80,,16021.95
29/01/2025,WDL TFR UPI/DR/257637093803/ZOMATO/HDFC/pay zomato@/Sent u 2558293196126 AT 06039 UDGIR,,232.01,,15789.94
31/01/2025,DEP TFR UPI/CR/458087144166/Master S/MAHB/ parthchava/UPI 1190677107832 AT 06039 UDGIR,,,28.05,15817.99
01/02/2025,WDL TFR UPI/DR/057125376497/ANOOP SH/IBKL/a mzn000461/Sent 8450856853716 AT 06039 UDGIR,,47.12,,15770.87
01/02/2025,WDL TFR UPI/DR/470686456880/AGENCIA /YESB/p aytmqr681/Sent 0381787387802 AT 06039 UDGIR,,233.99,,15536.88
02/02/2025,WDL TFR UPI/DR/643701677845/HEALTH F/YESB/p aytmqr6cv/Sent 6081435872445 AT 06039 UDGIR,,23.96,,15512.92
03/02/2025,WDL TFR UPI/DR/309701162736/KALSE RO/YESB/q 612119179/Sent 3437430918339 AT 06039 UDGIR,,233.06,,15279.86
04/02/2025,DEP TFR UPI/CR/851062050941/JAGADISH/UBIN/ jaguswami1/UPI 5606375043935 AT 06039 UDGIR,,,843.88,16123.74
04/02/2025,WDL TFR UPI/DR/869431558872/SHRIMANT/HDFC/v yapar.173/Sent 2951558685942 AT 06039 UDGIR,,23.31,,16100.43
04/02/2025,WDL TFR UPI/DR/754698587322/RAJENTERP/YESB/ q039410539/Sen 4283430756460 AT 06039 UDGIR,,91.63,,16008.80
06/02/2025,WDL TFR UPI/DR/003426480291/Pawar Pa/UTIB/g pay-12195/Sent 3247856876632 AT 06039 UDGIR,,45.02,,15963.78
08/02/2025,WDL TFR UPI/DR/617109141322/viveksj1/IBKL/ user41503/UPI 6518549918888 AT 06039 UDGIR,,77.53,,15886.25
09/02/2025,WDL TFR UPI/DR/686988953721/Airtel/YESB/air tel-bil/Airtel 9615795474706 AT 06039 UDGIR,,396.41,,15489.84
10/02/2025,WDL TFR UPI/DR/583375842657/MANARUL /YESB/q 547511241/Sent 4629301620434 AT 06039 UDGIR,,72.05,,15417.79
11/02/2025,DEP TFR UPI/CR/172906782375/ADITYA K/SBIN/ adityakris/UPI 8721144497567 AT 06039 UDGIR,,,370.60,15788.39
12/02/2025,WDL TFR UPI/DR/937837975412/SEEMA AB/YESB/q 216671691/Sent 8301352432163 AT 06039 UDGIR,,25.62,,15762.77
13/02/2025,WDL TFR UPI/DR/411797860235/LAZYPAY /AIRP/l azypayrep/Lazy 0917950224507 AT 06039 UDGIR,,383.20,,15379.57
13/02/2025,DEP TFR UPI/CR/113135637918/ADITYA K/SBIN/ adityakris/UPI 7309675751274 AT 06039 UDGIR,,,728.75,16108.32
14/02/2025,WDL TFR UPI/DR/653080067414/KALSE RO/YESB/q 612119179/Sent 0109265932818 AT 06039 UDGIR,,125.46,,15982.86
16/02/2025,WDL TFR UPI/DR/209594150439/SHREE GA/YESB/q 506267509/Sent 2428662420402 AT 06039 UDGIR,,93.55,,15889.31
16/02/2025,DEP TFR UPI/CR/504683211818/JAGADISH/UBIN/ jaguswami1/UPI 3561994936762 AT 06039 UDGIR,,,108.36,15997.67
18/02/2025,DEP TFR UPI/CR/752373671966/Master S/MAHB/ parthchava/UPI 1475576656086 AT 06039 UDGIR,,,380.06,16377.73
19/02/2025,WDL TFR UPI/DR/087529656458/Fatema s/YESB/p aytm.s1is/Sent 4296363841974 AT 06039 UDGIR,,155.76,,16221.97
21/02/2025,WDL TFR UPI/DR/724922051123/MR SOURA/YESB/q 868364515/Sent 8903589452889 AT 06039 UDGIR,,283.80,,15938.17
23/02/2025,WDL TFR UPI/DR/562907240590/OM SAI P/YESB/p aytmqr6u7/Sent 5451072341781 AT 06039 UDGIR,,54.54,,15883.63
24/02/2025,WDL TFR UPI/DR/834896138080/RAJENTERP/YESB/ q039410539/Sen 3633963242468 AT 06039 UDGIR,,79.68,,15803.95
25/02/2025,WDL TFR UPI/DR/095312244525/SHANKAR/YESB/q 256466505/Sent 2732115420235 AT 06039 UDGIR,,34.93,,15769.02
28/02/2025,WDL TFR UPI/DR/844888975729/MR SOURA/YESB/q 893257851/Sent 0676911966838 AT 06039 UDGIR,,191.75,,15577.27
28/02/2025,DEP TFR UPI/CR/665814617239/Master S/MAHB/ parthchava/UPI 5361707246807 AT 06039 UDGIR,,,53.35,15630.62
28/02/2025,WDL TFR UPI/DR/885720741570/Mr PRAMO/YESB/q 052019346/Sent 1042209859078 AT 06039 UDGIR,,1.21,,15629.41
01/03/2025,DEP TFR UPI/CR/970560810125/ADITYA K/SBIN/ adityakris/UPI 1360491089512 AT 06039 UDGIR,,,293.33,15922.74
02/03/2025,DEP TFR UPI/CR/948906808456/JAGADISH/UBIN/ jaguswami1/UPI 3072724458213 AT 06039 UDGIR,,,319.96,16242.70
04/03/2025,DEP TFR UPI/CR/604558580099/ADITYA A/BARB/9 356138585/Paym 3982600083519 AT 06039 UDGIR,,,1236.16,17478.86
05/03/2025,WDL TFR UPI/DR/427641193098/Pawar Pa/UTIB/g pay-12190/Sent 0587588389975 AT 06039 UDGIR,,30.29,,17448.57
06/03/2025,WDL TFR UPI/DR/492533172243/MR SOURA/YESB/q 606711731/Sent 8127669941875 AT 06039 UDGIR,,123.76,,17324.81
