value_date,post_date,details,ref_no,debit,credit,balance
05/01/2025,05/01/2025,CASH DEP/CSH614049713985/BRANCH DEPOSIT,CASH183884384072,-,"16,416.73","25,294.73"
05/01/2025,05/01/2025,NEFT CR/INV286076765468/NEXA INFRA/PROJECT CREDIT,CR455523616701,-,"23,793.41","49,088.14"
06/01/2025,06/01/2025,NEFT CR/INV140843803834/NEXA INFRA/PROJECT CREDIT,CR348911882310,-,"32,676.89","81,765.03"
07/01/2025,08/01/2025,UPI CR/P2P339604973167/AMAN/P2P RECEIVE,UPI350402841723,-,"11,691.23","93,456.26"
08/01/2025,08/01/2025,UPI DR/UPI834264431326/SWIGGY/MERCHANT PAYMENT,DR641906628372,"8,751.58",-,"84,704.68"
08/01/2025,10/01/2025,UPI DR/UPI309115831890/UBER/MERCHANT PAYMENT,DR916634757856,"3,644.48",-,"81,060.20"
08/01/2025,10/01/2025,NEFT DR/TRF603237871039/ACCOUNT TRANSFER,NEFT754229488534,"7,756.93",-,"73,303.27"
08/01/2025,10/01/2025,UPI CR/P2P658608261643/VIKAS/P2P RECEIVE,UPI987978879960,-,"24,739.44","98,042.71"
10/01/2025,10/01/2025,UPI DR/UPI966375035192/ZOMATO/MOBILEAPP,UPI265895052982,"1,867.49",-,"96,175.22"
11/01/2025,13/01/2025,CHRG DR/FEE780042482948/BANK CHARGE,CHG442736179716,356.93,-,"95,818.29"
12/01/2025,12/01/2025,CASH DEP/CSH368405453511/BRANCH DEPOSIT,CASH131113891310,-,"34,177.82","129,996.11"
12/01/2025,12/01/2025,UPI DR/UPI893348629924/UBER/MERCHANT PAYMENT,DR300366451880,"4,206.17",-,"125,789.94"
13/01/2025,13/01/2025,NEFT CR/INV920946776105/URBAN FOODS/PROJECT CREDIT,CR647039350788,-,"37,738.63","163,528.57"
13/01/2025,13/01/2025,UPI CR/P2P193897374260/NEHA/P2P RECEIVE,UPI853501807595,-,"12,326.48","175,855.05"
13/01/2025,14/01/2025,NEFT CR/INV564050084908/ORBIT RETAIL/PROJECT CREDIT,CR209912335478,-,"29,095.99","204,951.04"
14/01/2025,14/01/2025,NEFT CR/INV202657464356/URBAN FOODS/PROJECT PAYMENT,NEFT625079084553,-,"40,471.11","245,422.15"
14/01/2025,15/01/2025,CHRG DR/FEE689311690390/BANK CHARGE,CHG200878917650,261.21,-,"245,160.94"
14/01/2025,15/01/2025,NEFT CR/INV319956202528/ALPHA TRADERS/PROJECT CREDIT,CR177928453755,-,"63,476.66","308,637.60"
14/01/2025,15/01/2025,NEFT CR/INV878679172640/ALPHA TRADERS/PROJECT CREDIT,CR191796779595,-,"92,725.34","401,362.94"
14/01/2025,16/01/2025,UPI DR/UPI229804550673/JIO/MERCHANT PAYMENT,DR310911833218,"9,612.14",-,"391,750.80"
15/01/2025,15/01/2025,CASH DEP/CSH169305161193/BRANCH DEPOSIT,CASH269571863030,-,"26,401.91","418,152.71"
15/01/2025,16/01/2025,NEFT DR/TRF808158968436/SAVINGS TRANSFER,NEFT322427299952,"14,219.57",-,"403,933.14"
15/01/2025,17/01/2025,NEFT CR/INV870778995022/SKYLOGIC LLP/PROJECT CREDIT,CR382163122929,-,"93,922.87","497,856.01"
15/01/2025,17/01/2025,NEFT CR/INV667329900486/SKYLOGIC LLP/PROJECT CREDIT,CR951517149467,-,"23,730.37","521,586.38"
16/01/2025,18/01/2025,UPI DR/P2P857263549350/AMAN/P2P TRANSFER,UPI889574770348,323.01,-,"521,263.37"
17/01/2025,17/01/2025,NEFT CR/INV911116547983/ALPHA TRADERS/PROJECT CREDIT,CR644227448252,-,"51,648.96","572,912.33"
17/01/2025,17/01/2025,UPI DR/UPI949652903864/BIGBASKET/MERCHANT PAYMENT,DR638563991496,"8,859.05",-,"564,053.28"
19/01/2025,19/01/2025,UPI CR/UPI921256923879/MEERA/P2P RECEIVE,UPI837090074940,-,"4,800.96","568,854.24"
19/01/2025,21/01/2025,UPI DR/UPI129831232823/JIO/MERCHANT PAYMENT,DR715553912537,"11,211.30",-,"557,642.94"
21/01/2025,22/01/2025,NEFT DR/TRF647815931271/ACCOUNT TRANSFER,NEFT688375578359,"25,427.14",-,"532,215.80"
22/01/2025,22/01/2025,UPI DR/P2P768940794310/PRIYA/P2P TRANSFER,UPI863687525091,"9,099.96",-,"523,115.84"
24/01/2025,24/01/2025,UPI DR/P2P146709240140/RAHUL/P2P TRANSFER,UPI808567711592,"2,895.28",-,"520,220.56"
24/01/2025,25/01/2025,NEFT CR/INV458094426589/ALPHA TRADERS/PROJECT CREDIT,CR255036143439,-,"25,802.52","546,023.08"
25/01/2025,26/01/2025,NEFT CR/INV842818556107/ALPHA TRADERS/PROJECT CREDIT,CR393381712250,-,"79,406.79","625,429.87"
25/01/2025,27/01/2025,NEFT DR/TRF691306917429/ACCOUNT TRANSFER,NEFT218407609024,"37,886.10",-,"587,543.77"
27/01/2025,27/01/2025,NEFT DR/TRF248757871391/ACCOUNT TRANSFER,NEFT716993935254,"17,112.43",-,"570,431.34"
27/01/2025,28/01/2025,NEFT DR/TRF958196327209/ACCOUNT TRANSFER,NEFT942706858640,"24,775.31",-,"545,656.03"
27/01/2025,29/01/2025,UPI DR/UPI645043222808/UBER/MERCHANT PAYMENT,DR394173991771,"11,833.00",-,"533,823.03"
28/01/2025,30/01/2025,NEFT CR/INV373805133354/ORBIT RETAIL/PROJECT CREDIT,CR906277225218,-,"89,754.48","623,577.51"
31/01/2025,01/02/2025,NEFT CR/INV430363373420/ALPHA TRADERS/PROJECT CREDIT,CR514153903265,-,"83,751.97","707,329.48"
31/01/2025,02/02/2025,UPI DR/UPI927603946594/FLIPKART/MERCHANT PAYMENT,DR139377147448,615.94,-,"706,713.54"
31/01/2025,02/02/2025,UPI DR/P2P523536010790/PRIYA/P2P TRANSFER,UPI288165171628,"16,488.22",-,"690,225.32"
31/01/2025,02/02/2025,UPI CR/P2P580119463352/MEERA/P2P RECEIVE,UPI779498881467,-,"3,559.81","693,785.13"
01/02/2025,01/02/2025,NEFT CR/INV637559588386/NEXA INFRA/PROJECT CREDIT,CR653192452310,-,"60,915.63","754,700.76"
01/02/2025,02/02/2025,UPI DR/P2P826329841694/KARAN/P2P TRANSFER,UPI956463787413,"17,399.95",-,"737,300.81"
02/02/2025,02/02/2025,UPI DR/UPI696778781668/BIGBASKET/MERCHANT PAYMENT,DR174968793199,"3,554.72",-,"733,746.09"
02/02/2025,02/02/2025,UPI DR/UPI563386315049/SWIGGY/MERCHANT PAYMENT,DR613639456408,490.89,-,"733,255.20"
02/02/2025,02/02/2025,UPI DR/UPI327985399252/DMART/MERCHANT PAYMENT,DR917349718652,"4,618.85",-,"728,636.35"
03/02/2025,03/02/2025,NEFT CR/INV207197809696/URBAN FOODS/PROJECT CREDIT,CR945488469142,-,"90,598.63","819,234.98"
04/02/2025,04/02/2025,NEFT CR/INV635023614316/ALPHA TRADERS/PROJECT CREDIT,CR317346558319,-,"62,642.03","881,877.01"
05/02/2025,05/02/2025,NEFT CR/INV544455886806/SKYLOGIC LLP/PROJECT CREDIT,CR988925862712,-,"59,054.41","940,931.42"
06/02/2025,06/02/2025,UPI DR/UPI442631098965/BIGBASKET/MERCHANT PAYMENT,DR610143170737,"4,687.86",-,"936,243.56"
06/02/2025,08/02/2025,UPI DR/UPI667450181572/APOLLO PHARMACY/MERCHANT PAYMENT,DR645484498963,"11,971.66",-,"924,271.90"
07/02/2025,08/02/2025,UPI DR/UPI601242589262/SPOTIFY/MERCHANT PAYMENT,DR246762492497,"4,822.65",-,"919,449.25"
07/02/2025,09/02/2025,UPI CR/P2P859942845033/PRIYA/P2P RECEIVE,UPI652513029717,-,"17,452.24","936,901.49"
08/02/2025,10/02/2025,NEFT CR/INV459577055655/SKYLOGIC LLP/PROJECT CREDIT,CR628034591886,-,"9,152.21","946,053.70"
08/02/2025,10/02/2025,NEFT CR/INV324899406726/NEXA INFRA/PROJECT PAYMENT,NEFT853066704861,-,"17,838.14","963,891.84"
10/02/2025,10/02/2025,NEFT CR/INV954761095787/URBAN FOODS/PROJECT CREDIT,CR988076897789,-,"83,393.57","1,047,285.41"
10/02/2025,10/02/2025,NEFT DR/TRF389482133237/ACCOUNT TRANSFER,NEFT663189733992,"30,002.69",-,"1,017,282.72"
11/02/2025,11/02/2025,UPI DR/UPI842295505435/AIRTEL/MERCHANT PAYMENT,DR952166184009,"7,768.56",-,"1,009,514.16"
11/02/2025,11/02/2025,UPI DR/P2P267679652787/RAHUL/P2P TRANSFER,UPI168028085735,"6,317.93",-,"1,003,196.23"
11/02/2025,13/02/2025,NEFT CR/INV769319545393/NEXA INFRA/PROJECT CREDIT,CR977502631035,-,"78,168.97","1,081,365.20"
12/02/2025,13/02/2025,UPI DR/P2P133114590925/PRIYA/P2P TRANSFER,UPI793127646672,"23,858.92",-,"1,057,506.28"
13/02/2025,14/02/2025,NEFT CR/INV550954360342/NEXA INFRA/PROJECT CREDIT,CR832514183710,-,"88,759.86","1,146,266.14"
13/02/2025,15/02/2025,NEFT DR/TRF942357853124/ACCOUNT TRANSFER,NEFT432774234832,"6,573.89",-,"1,139,692.25"
14/02/2025,16/02/2025,UPI DR/UPI808563751701/SPOTIFY/MERCHANT PAYMENT,DR950797205097,"3,446.10",-,"1,136,246.15"
14/02/2025,16/02/2025,UPI CR/P2P984177647108/ROHAN/P2P RECEIVE,UPI711863905142,-,"31,663.39","1,167,909.54"
15/02/2025,15/02/2025,NEFT CR/INV433723963150/NEXA INFRA/PROJECT CREDIT,CR896551760484,-,"67,620.37","1,235,529.91"
