value_date,post_date,details,ref_no,debit,credit,balance
02/01/2025,04/01/2025,NEFT DR/VEN412038555057/RAWMAT SUPPLY/VENDOR PAYMENT,NEFT924737436079,"178,183.02",-,"452,448.98"
02/01/2025,04/01/2025,RTGS CR/CLT178334078407/NEXA INFRA/INVOICE SETTLEMENT,RTGS342431705832,-,"139,244.91","591,693.89"
04/01/2025,04/01/2025,CHRG DR/FEE343303563900/BANK CHARGE,CHG814930985697,15.65,-,"591,678.24"
04/01/2025,05/01/2025,CASH DEP/CSH536147848927/BRANCH DEPOSIT,CASH617447417614,-,"5,089.34","596,767.58"
04/01/2025,06/01/2025,UPI DR/UPI714862169627/AIRTEL/MERCHANT PAYMENT,DR179391392300,"2,323.76",-,"594,443.82"
05/01/2025,06/01/2025,UPI DR/BIZ667246480433/RAWMAT SUPPLY/SUPPLIER PAYMENT,DR690662279619,"26,297.09",-,"568,146.73"
05/01/2025,06/01/2025,NEFT DR/VEN510973878824/RAWMAT SUPPLY/VENDOR PAYMENT,NEFT764869198989,"8,599.63",-,"559,547.10"
05/01/2025,07/01/2025,NEFT DR/VEN718372830293/PRINT HOUSE/VENDOR PAYMENT,NEFT862779967396,"85,437.73",-,"474,109.37"
06/01/2025,07/01/2025,UPI DR/P2P951425630273/MEERA/P2P TRANSFER,UPI181844463341,"1,236.71",-,"472,872.66"
10/01/2025,10/01/2025,NEFT CR/CLT476336113088/ALPHA TRADERS/BULK RECEIPT,CR457646527003,-,"232,054.03","704,926.69"
10/01/2025,10/01/2025,UPI DR/UPI413375200812/MEDPLUS/MOBILEAPP,UPI200815095890,207.90,-,"704,718.79"
13/01/2025,14/01/2025,NEFT CR/CLT471263868168/URBAN FOODS/BULK RECEIPT,CR262461262794,-,"147,190.01","851,908.80"
15/01/2025,16/01/2025,NEFT DR/TRF940313962786/SAVINGS TRANSFER,NEFT316653754345,"4,817.78",-,"847,091.02"
16/01/2025,16/01/2025,UPI DR/BIZ217561787376/PRINT HOUSE/SUPPLIER PAYMENT,DR287302829742,"59,821.75",-,"787,269.27"
16/01/2025,18/01/2025,NEFT CR/CLT819989474465/NEXA INFRA/BULK RECEIPT,CR623500143775,-,"85,673.62","872,942.89"
18/01/2025,20/01/2025,RTGS CR/CLT153527467899/NEXA INFRA/INVOICE SETTLEMENT,RTGS594093923610,-,"223,312.74","1,096,255.63"
18/01/2025,20/01/2025,RTGS CR/CLT654266774582/ALPHA TRADERS/INVOICE SETTLEMENT,RTGS743021120674,-,"235,508.77","1,331,764.40"
19/01/2025,19/01/2025,NEFT CR/CLT772808568396/URBAN FOODS/BULK RECEIPT,CR405859499679,-,"61,898.58","1,393,662.98"
