Date,Details,Ref No/Cheque No,Debit,Credit,Balance
15/01/2025,WDL TFR UPI/DR/465083770539/NEW CHIN/FDRL/c hintamani/Sent 0755180687046 AT 06039 UDGIR,,6.51,,23651.68
15/01/2025,WDL TFR UPI/DR/615860377519/Shukalp /UTIB/9 370456936/Sent 3336558326933 AT 06039 UDGIR,,3429.83,,20221.85
16/01/2025,WDL TFR UPI/DR/509740888300/MR ADITY/NESF/ 6032018390/UPI 9841620821561 AT 06039 UDGIR,,40.04,,20181.81
16/01/2025,DEP TFR UPI/CR/573951119664/Master S/MAHB/ 8299196780/NA 1646561952395 AT 06039 UDGIR,,,275.82,20457.63
18/01/2025,WDL TFR UPI/DR/822041898423/NILESH V/YESB/q 445025662/Sent 5944508862991 AT 06039 UDGIR,,263.04,,20194.59
18/01/2025,WDL TFR UPI/DR/984466926074/SARTHAK /IPOS/ sarthakksh/UPI 8021118605455 AT 06039 UDGIR,,14.11,,20180.48
19/01/2025,WDL TFR UPI/DR/642840018818/SUKHSAGA/HDFC/v yapar.169/Sent 6295546912349 AT 06039 UDGIR,,39.44,,20141.04
21/01/2025,DEP TFR UPI/CR/293607210618/Master S/MAHB/ parthchava/UPI 2393244497222 AT 06039 UDGIR,,,193.12,20334.16
22/01/2025,DEP TFR UPI/CR/063176362942/JAGADISH/UBIN/ jaguswami1/UPI 7553286844338 AT 06039 UDGIR,,,693.83,21027.99
25/01/2025,DEP TFR UPI/CR/384112833345/MOHIT SU/BKID/ mohitttade/UPI 0441674009027 AT 06039 UDGIR,,,39.40,21067.39
25/01/2025,WDL TFR UPI/DR/158750352007/OM SAI P/YESB/p aytmqr6u7/Sent 8779722403347 AT 06039 UDGIR,,16.66,,21050.73
26/01/2025,WDL TFR UPI/DR/500626624648/Pawar Pa/UTIB/g pay-12190/Sent 4625578898043 AT 06039 UDGIR,,76.06,,20974.67
28/01/2025,DEP TFR UPI/CR/328858629410/Bhagyash/BARB/ vaniswami1/UPI 8682211094313 AT 06039 UDGIR,,,217.83,21192.50
28/01/2025,WDL TFR UPI/DR/671476018399/ANIL ARJ/YESB/ paytmqrt2m/NA 9937769003301 AT 06039 UDGIR,,193.03,,20999.47
30/01/2025,DEP TFR UPI/CR/617666111660/JAGADISH/UBIN/ jaguswami1/UPI 2704477288213 AT 06039 UDGIR,,,1267.42,22266.89
31/01/2025,DEP TFR UPI/CR/412426922120/SHRADHA /KVBL/ shradha.na/UPI 6555219688200 AT 06039 UDGIR,,,929.26,23196.15
01/02/2025,WDL TFR UPI/DR/250638238231/ANIL ARJ/YESB/ paytmqrt2m/NA 6718592226113 AT 06039 UDGIR,,37.52,,23158.63
02/02/2025,WDL TFR UPI/DR/864806701427/CONFIRM /AIRP/c onfirmtic/UPII 7823315708869 AT 06039 UDGIR,,1763.19,,21395.44
04/02/2025,WDL TFR UPI/DR/903767156222/ANIL ARJ/YESB/ paytmqrt2m/NA 1158059656495 AT 06039 UDGIR,,151.66,,21243.78
05/02/2025,DEP TFR UPI/CR/957134222935/MOHIT SU/BKID/ mohitttade/UPI 0903325588907 AT 06039 UDGIR,,,54.93,21298.71
06/02/2025,DEP TFR UPI/CR/443091070322/SARTHAK /IPOS/ sarthakksh/UPI 8908267885146 AT 06039 UDGIR,,,106.08,21404.79
08/02/2025,DEP TFR UPI/CR/509434915443/PARTH DA/PPIW/8 262854390/Paid 8037937123830 AT 06039 UDGIR,,,1720.99,23125.78
08/02/2025,WDL TFR UPI/DR/557970607890/MR SOURA/YESB/q 893257851/Sent 3489105780390 AT 06039 UDGIR,,435.80,,22689.98
09/02/2025,WDL TFR UPI/DR/717764646712/Mrs KANC/YESB/ bharatpe9s/Pay 5929919064421 AT 06039 UDGIR,,192.57,,22497.41
09/02/2025,DEP TFR UPI/CR/597329418949/SARTHAK /IPOS/ sarthakksh/UPI 9274964529768 AT 06039 UDGIR,,,52.21,22549.62
11/02/2025,WDL TFR UPI/DR/488723651885/Master S/MAHB/ 7272207123/UPI 1086366397847 AT 06039 UDGIR,,134.73,,22414.89
12/02/2025,WDL TFR UPI/DR/807765243617/OM SAI P/YESB/p aytmqr6u7/Sent 3403375131631 AT 06039 UDGIR,,20.07,,22394.82
13/02/2025,WDL TFR UPI/DR/905264359994/BP Petro/YESB/q 991340776/Sent 0624672784747 AT 06039 UDGIR,,192.04,,22202.78
15/02/2025,WDL TFR UPI/DR/708750317321/RAM KISH/YESB/p aytmqr60e/Sent 0214676220223 AT 06039 UDGIR,,22.72,,22180.06
15/02/2025,WDL TFR UPI/DR/736541618008/BP Petro/YESB/q 580628708/Sent 2261223646113 AT 06039 UDGIR,,244.93,,21935.13
17/02/2025,DEP TFR UPI/CR/080734136428/JAGADISH/UBIN/ jaguswami1/UPI 3539522156193 AT 06039 UDGIR,,,376.84,22311.97
18/02/2025,WDL TFR UPI/DR/462765076887/Mr Popat/YESB/q 324753482/Sent 3359700266753 AT 06039 UDGIR,,28.00,,22283.97
19/02/2025,WDL TFR UPI/DR/572767925313/Janardan/SBIN/9 153514502/Sent 0588309292040 AT 06039 UDGIR,,12.44,,22271.53
19/02/2025,WDL TFR UPI/DR/047963100584/ADITYA K/SBIN/ 3873227133/UPI 5820985344030 AT 06039 UDGIR,,193.70,,22077.83
22/02/2025,WDL TFR UPI/DR/390060123970/KALE SHA/HDFC/s hasikalak/Sent 2712679054836 AT 06039 UDGIR,,176.39,,21901.44
24/02/2025,WDL TFR UPI/DR/447956030467/ANIL ARJ/YESB/ paytmqr1dr/NA 1017667241513 AT 06039 UDGIR,,30.94,,21870.50
26/02/2025,DEP TFR UPI/CR/085616825214/JAGADISH/UBIN/ jaguswami1/UPI 4587009289174 AT 06039 UDGIR,,,148.55,22019.05
26/02/2025,WDL TFR UPI/DR/623523510309/ZOMATO/HDFC/pay zomato@/Sent u 0656304351534 AT 06039 UDGIR,,262.54,,21756.51
01/03/2025,DEP TFR UPI/CR/191296377902/PARTH DA/BKID/ parthchava/UPI 7972205143305 AT 06039 UDGIR,,,24.76,21781.27
01/03/2025,WDL TFR UPI/DR/178065985427/SHISHA G/HDFC/v yapar.170/Sent 3519684506604 AT 06039 UDGIR,,160.85,,21620.42
03/03/2025,DEP TFR UPI/CR/691022135486/JAGADISH/UBIN/ jaguswami1/UPI 0136871002711 AT 06039 UDGIR,,,876.42,22496.84
03/03/2025,WDL TFR UPI/DR/405815570437/DINESH B/YESB/q 685713653/Sent 0653154971700 AT 06039 UDGIR,,239.72,,22257.12
04/03/2025,WDL TFR UPI/DR/639977091386/Girajabh/YESB/p aytm.s1vp/Sent 6589689637919 AT 06039 UDGIR,,62.06,,22195.06
04/03/2025,WDL TFR UPI/DR/372183700725/Inacio M/YESB/p aytmqr6eo/Sent 0548670816971 AT 06039 UDGIR,,779.39,,21415.67
05/03/2025,WDL TFR UPI/DR/019626257677/SHREE GA/YESB/q 369201673/Sent 8170086143144 AT 06039 UDGIR,,40.26,,21375.41
07/03/2025,DEP TFR UPI/CR/251712579515/Master S/MAHB/ parthchava/UPI 6702455819481 AT 06039 UDGIR,,,147.16,21522.57
08/03/2025,WDL TFR UPI/DR/387783781683/ANIL ARJ/YESB/ paytmqrt2m/NA 3135020560448 AT 06039 UDGIR,,695.64,,20826.93
09/03/2025,WDL TFR UPI/DR/009584738966/HARSHAD /YESB/p aytmqr736/Sent 0578329276181 AT 06039 UDGIR,,172.76,,20654.17
12/03/2025,WDL TFR UPI/DR/533683228760/SHREE GA/YESB/q 190874553/Sent 9342682917572 AT 06039 UDGIR,,79.33,,20574.84
13/03/2025,WDL TFR UPI/DR/574650115103/Pawar Pa/UTIB/g pay-12190/Sent 5703257132204 AT 06039 UDGIR,,26.76,,20548.08
13/03/2025,WDL TFR UPI/DR/179896318097/Mrs KANC/YESB/ bharatpe9s/Pay 5936348062824 AT 06039 UDGIR,,92.80,,20455.28
13/03/2025,WDL TFR UPI/DR/857202275498/Pawar Pa/UTIB/g pay-12195/Sent 4292603129791 AT 06039 UDGIR,,48.13,,20407.15
13/03/2025,DEP TFR UPI/CR/365439790774/SARTHAK /IPOS/ sarthakksh/UPI 6540837502832 AT 06039 UDGIR,,,41.41,20448.56
14/03/2025,WDL TFR UPI/DR/091628370700/SARTHAK /BARB/s arthakksh/Sent 7000323868020 AT 06039 UDGIR,,19.85,,20428.71
14/03/2025,DEP TFR UPI/CR/382349705644/Master S/MAHB/ parthchava/UPI 9941305168724 AT 06039 UDGIR,,,65.86,20494.57
15/03/2025,DEP TFR UPI/CR/010405616869/MOHIT SU/BKID/ mohitttade/UPI 3554374114858 AT 06039 UDGIR,,,267.09,20761.66
16/03/2025,WDL TFR UPI/DR/359537658749/MOHIT SU/BKID/ mohitttade/UPI 3099211824448 AT 06039 UDGIR,,36.53,,20725.13
17/03/2025,WDL TFR UPI/DR/003181753883/SHREE GA/YESB/q 369201673/Sent 7483396544096 AT 06039 UDGIR,,67.91,,20657.22
19/03/2025,WDL TFR UPI/DR/647823396072/KALSE RO/YESB/q 612119179/Sent 4125134417249 AT 06039 UDGIR,,275.29,,20381.93
19/03/2025,WDL TFR UPI/DR/604255553150/Mr Popat/YESB/q 324753482/Sent 9688082218577 AT 06039 UDGIR,,39.64,,20342.29
20/03/2025,DEP TFR UPI/CR/117836170802/JAGADISH/UBIN/ jaguswami1/UPI 1108062075478 AT 06039 UDGIR,,,1051.50,21393.79
21/03/2025,DEP TFR UPI/CR/100932097840/MOHIT SU/BKID/ mohitttade/UPI 0021768638456 AT 06039 UDGIR,,,103.48,21497.27
22/03/2025,WDL TFR UPI/DR/630514471281/Brahmana/SBIN/8 055330003/Sent 1621608766366 AT 06039 UDGIR,,190.28,,21306.99
22/03/2025,WDL TFR UPI/DR/200160126966/Pawar Pa/UTIB/ gpay-12190/Sent 4293299550268 AT 06039 UDGIR,,19.91,,21287.08
22/03/2025,WDL TFR UPI/DR/281551452248/MR SOURA/YESB/q 606711731/Sent 5775018796018 AT 06039 UDGIR,,405.97,,20881.11
24/03/2025,DEP TFR UPI/CR/849314507697/ADITYA A/BARB/9 356138585/Paym 7161239128473 AT 06039 UDGIR,,,1276.14,22157.25
24/03/2025,WDL TFR UPI/DR/079075704816/ANIL ARJ/YESB/ paytmqrt2m/NA 1602225003274 AT 06039 UDGIR,,223.84,,21933.41
26/03/2025,DEP TFR UPI/CR/252699916129/SARTHAK /IPOS/ sarthakksh/UPI 0074446821925 AT 06039 UDGIR,,,20.95,21954.36
27/03/2025,WDL TFR UPI/DR/120964667014/SHANTAI /YESB/q 730121189/Sent 4044574546367 AT 06039 UDGIR,,25.24,,21929.12
28/03/2025,DEP TFR UPI/CR/877426500525/SARTHAK /IPOS/ sarthakksh/UPI 6633701248587 AT 06039 UDGIR,,,20.28,21949.40
28/03/2025,WDL TFR UPI/DR/218618803891/Mr SATIS/YESB/p aytmqr6uu/Sent 0550904260977 AT 06039 UDGIR,,59.13,,21890.27
