value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,02/01/2025,UPI DR/UPI815004095378/AIRTEL/MERCHANT PAYMENT,DR671979818715,"1,179.31",-,"145,570.69"
01/01/2025,03/01/2025,NEFT DR/TRF675673177780/ACCOUNT TRANSFER,NEFT100436593360,"28,910.27",-,"116,660.42"
02/01/2025,04/01/2025,UPI DR/UPI263180086315/APOLLO PHARMACY/MERCHANT PAYMENT,DR101935937125,327.81,-,"116,332.61"
03/01/2025,04/01/2025,UPI CR/P2P728199075230/ANJALI/P2P RECEIVE,UPI661568003199,-,"16,553.30","132,885.91"
04/01/2025,05/01/2025,UPI DR/UPI779508129754/APOLLO PHARMACY/MERCHANT PAYMENT,DR588125081254,"8,206.75",-,"124,679.16"
04/01/2025,05/01/2025,NEFT DR/TRF609877789593/ACCOUNT TRANSFER,NEFT968249336096,"27,268.33",-,"97,410.83"
05/01/2025,06/01/2025,UPI DR/UPI353637365609/MEDPLUS/MERCHANT PAYMENT,DR332493197137,"3,435.07",-,"93,975.76"
05/01/2025,07/01/2025,NEFT CR/INV765133644897/SKYLOGIC LLP/PROJECT PAYMENT,NEFT427221384343,-,"21,166.65","115,142.41"
10/01/2025,10/01/2025,UPI DR/UPI402914126884/AMAZON/MOBILEAPP,UPI736145783051,"2,320.71",-,"112,821.70"
11/01/2025,11/01/2025,NEFT CR/INV669337291625/ORBIT RETAIL/PROJECT PAYMENT,NEFT419587321914,-,"43,726.93","156,548.63"
11/01/2025,13/01/2025,NEFT CR/INV643196709366/NEXA INFRA/PROJECT CREDIT,CR227575047974,-,"31,974.92","188,523.55"
13/01/2025,13/01/2025,NEFT CR/INV217323553893/ORBIT RETAIL/PROJECT PAYMENT,NEFT647985518981,-,"17,708.32","206,231.87"
14/01/2025,14/01/2025,UPI DR/UPI516992449719/SPOTIFY/MERCHANT PAYMENT,DR994828760308,"5,408.82",-,"200,823.05"
14/01/2025,16/01/2025,NEFT DR/TRF776024487942/ACCOUNT TRANSFER,NEFT232256918068,"26,848.48",-,"173,974.57"
15/01/2025,16/01/2025,NEFT DR/TRF563402559594/SAVINGS TRANSFER,NEFT138703904165,"7,982.75",-,"165,991.82"
16/01/2025,16/01/2025,NEFT CR/INV964524537939/ALPHA TRADERS/PROJECT CREDIT,CR733730956030,-,"80,000.40","245,992.22"
19/01/2025,19/01/2025,UPI CR/UPI220158997631/SNEHA/P2P RECEIVE,UPI389747298863,-,576.73,"246,568.96"
19/01/2025,21/01/2025,CASH DEP/CSH281207699153/BRANCH DEPOSIT,CASH294664315424,-,"5,622.40","252,191.36"
21/01/2025,21/01/2025,NEFT CR/INV755955213505/ALPHA TRADERS/PROJECT CREDIT,CR960819958317,-,"28,154.43","280,345.79"
22/01/2025,24/01/2025,NEFT CR/INV146637018716/SKYLOGIC LLP/PROJECT PAYMENT,NEFT630530432224,-,"49,627.27","329,973.06"
22/01/2025,24/01/2025,NEFT DR/TRF160133685248/ACCOUNT TRANSFER,NEFT689763114202,"27,757.87",-,"302,215.19"
23/01/2025,25/01/2025,UPI DR/UPI918890524960/MEDPLUS/MERCHANT PAYMENT,DR870696525799,"5,503.38",-,"296,711.81"
24/01/2025,24/01/2025,UPI DR/P2P139523829404/PRIYA/P2P TRANSFER,UPI499967784602,153.34,-,"296,558.47"
27/01/2025,28/01/2025,UPI DR/UPI657946404848/OLA/MERCHANT PAYMENT,DR527458853943,"10,191.24",-,"286,367.23"
28/01/2025,29/01/2025,UPI CR/P2P647605033693/PRIYA/P2P RECEIVE,UPI424760715801,-,"12,086.37","298,453.60"
29/01/2025,30/01/2025,NEFT DR/TRF701022610390/ACCOUNT TRANSFER,NEFT859640300122,"46,398.84",-,"252,054.76"
29/01/2025,31/01/2025,UPI DR/UPI743567474488/BIGBASKET/MERCHANT PAYMENT,DR459375598561,"5,722.94",-,"246,331.82"
30/01/2025,01/02/2025,UPI DR/UPI268866435805/MEDPLUS/MERCHANT PAYMENT,DR502585115764,"1,771.00",-,"244,560.82"
31/01/2025,31/01/2025,UPI DR/UPI418111236933/JIO/MERCHANT PAYMENT,DR626729116458,"2,235.02",-,"242,325.80"
01/02/2025,02/02/2025,NEFT CR/INV901865250071/SKYLOGIC LLP/PROJECT CREDIT,CR670926903688,-,"65,723.40","308,049.20"
01/02/2025,02/02/2025,UPI DR/UPI892395231848/MEDPLUS/MERCHANT PAYMENT,DR351597497687,"3,033.52",-,"305,015.68"
01/02/2025,03/02/2025,NEFT CR/INV961929569201/ALPHA TRADERS/PROJECT CREDIT,CR650231310549,-,"93,655.55","398,671.23"
01/02/2025,03/02/2025,NEFT CR/INV603031661834/URBAN FOODS/PROJECT CREDIT,CR826565241594,-,"40,568.68","439,239.91"
03/02/2025,04/02/2025,UPI DR/UPI744810207583/APOLLO PHARMACY/MERCHANT PAYMENT,DR302566870135,"7,320.53",-,"431,919.38"
04/02/2025,05/02/2025,CASH DEP/CSH139897907336/BRANCH DEPOSIT,CASH140076055378,-,"30,154.35","462,073.73"
04/02/2025,06/02/2025,NEFT CR/INV894675046947/ORBIT RETAIL/PROJECT PAYMENT,NEFT380399594905,-,"64,230.62","526,304.35"
05/02/2025,05/02/2025,UPI DR/UPI594192621616/BOOKMYSHOW/MERCHANT PAYMENT,DR977357526548,982.13,-,"525,322.22"
06/02/2025,07/02/2025,NEFT CR/INV635178946842/SKYLOGIC LLP/PROJECT CREDIT,CR737773535126,-,"84,925.60","610,247.82"
07/02/2025,07/02/2025,UPI DR/P2P265167825994/KARAN/P2P TRANSFER,UPI979766259055,"7,282.62",-,"602,965.20"
07/02/2025,08/02/2025,UPI DR/UPI699779509629/AMAZON/MERCHANT PAYMENT,DR152710160267,"1,327.29",-,"601,637.91"
12/02/2025,12/02/2025,UPI DR/UPI723716304854/NETFLIX/MERCHANT PAYMENT,DR238287368683,"2,185.70",-,"599,452.21"
12/02/2025,13/02/2025,NEFT CR/INV560424808874/URBAN FOODS/PROJECT CREDIT,CR921394464564,-,"28,612.19","628,064.39"
13/02/2025,14/02/2025,UPI DR/P2P193908229000/ANJALI/P2P TRANSFER,UPI459650607954,"4,517.90",-,"623,546.49"
14/02/2025,16/02/2025,UPI DR/UPI115406983501/ZOMATO/MERCHANT PAYMENT,DR933895184984,"3,438.09",-,"620,108.40"
15/02/2025,16/02/2025,NEFT CR/INV150054383680/ALPHA TRADERS/PROJECT CREDIT,CR221762884024,-,"61,631.10","681,739.51"
16/02/2025,18/02/2025,UPI DR/UPI719740964416/UBER/MERCHANT PAYMENT,DR903471225762,"9,754.25",-,"671,985.26"
16/02/2025,18/02/2025,UPI DR/P2P982395947262/NEHA/P2P TRANSFER,UPI201218073299,"23,151.11",-,"648,834.15"
