Date,Details,Ref No/Cheque No,Debit,Credit,Balance
04/01/2025,DEP TFR UPI/CR/763864539903/MOHIT SU/BKID/ mohitttade/UPI 0399089501750 AT 06039 UDGIR,,,169.78,23515.79
07/01/2025,WDL TFR UPI/DR/301677686581/Master S/MAHB/ 2153314827/UPI 8938420874926 AT 06039 UDGIR,,30.85,,23484.94
08/01/2025,WDL TFR UPI/DR/329481021823/RAHUL TR/YESB/p aytmqr6x8/Sent 8668994513872 AT 06039 UDGIR,,325.16,,23159.78
09/01/2025,WDL TFR UPI/DR/534707725917/Master S/MAHB/ 2900250978/UPI 0438597130636 AT 06039 UDGIR,,73.58,,23086.20
10/01/2025,WDL TFR UPI/DR/841371168199/ASHWINI /HDFC/v yapar.175/Sent 3303405481642 AT 06039 UDGIR,,137.61,,22948.59
11/01/2025,WDL TFR UPI/DR/736121281159/HOTEL JO/ICIC/g etepay.gv/Sent 9976593204536 AT 06039 UDGIR,,316.43,,22632.16
12/01/2025,WDL TFR UPI/DR/486847413250/High Spi/UTIB/9 823096944/Sent 8511367511766 AT 06039 UDGIR,,133.34,,22498.82
12/01/2025,DEP TFR UPI/CR/768988352156/ADITYA K/SBIN/ adityakris/UPI 5540866230780 AT 06039 UDGIR,,,83.79,22582.61
13/01/2025,WDL TFR UPI/DR/717327747487/ANIL ARJ/YESB/ paytmqrt2m/NA 3669679663625 AT 06039 UDGIR,,249.59,,22333.02
15/01/2025,WDL TFR UPI/DR/891716712842/KAUSTUBH/YESB/p aytmqr6h6/Sent 0098765883002 AT 06039 UDGIR,,305.99,,22027.03
17/01/2025,WDL TFR UPI/DR/005952199645/Ashadul /INDB/ 8664345966/NA 2452816205315 AT 06039 UDGIR,,158.34,,21868.69
18/01/2025,WDL TFR UPI/DR/576136674949/HADKE HE/YESB/ paytmqr12b/NA 0680258892517 AT 06039 UDGIR,,264.16,,21604.53
18/01/2025,DEP TFR UPI/CR/384162589680/Master S/MAHB/ parthchava/UPI 4695704993519 AT 06039 UDGIR,,,187.69,21792.22
19/01/2025,WDL TFR UPI/DR/552470874521/DINESH B/YESB/q 443604504/Sent 9894306261738 AT 06039 UDGIR,,89.69,,21702.53
19/01/2025,WDL TFR UPI/DR/188739286439/Mr DINES/YESB/q 707637775/Sent 0871488873243 AT 06039 UDGIR,,34.30,,21668.23
21/01/2025,WDL TFR UPI/DR/447103226306/Google I/UTIB/ gpay-utili/UPI 5671302599504 AT 06039 UDGIR,,271.62,,21396.61
21/01/2025,DEP TFR UPI/CR/686447948810/MOHIT SU/BKID/ mohitttade/UPI 4439968036398 AT 06039 UDGIR,,,220.87,21617.48
21/01/2025,DEP TFR UPI/CR/132047037195/PARTH DA/BKID/ parthchava/UPI 2046090236705 AT 06039 UDGIR,,,199.20,21816.68
