value_date,post_date,details,ref_no,debit,credit,balance
01/01/2025,02/01/2025,UPI DR/UPI990488945713/UBER/MERCHANT PAYMENT,DR105283379596,"10,436.31",-,"219,443.69"
02/01/2025,02/01/2025,NEFT CR/SAL202657464356/WIPRO/MONTHLY SALARY,CR625079084553,-,"31,569.00","251,012.69"
02/01/2025,02/01/2025,UPI DR/UPI808158968436/APOLLO PHARMACY/MERCHANT PAYMENT,DR322427299952,"7,516.66",-,"243,496.03"
02/01/2025,03/01/2025,UPI DR/UPI254627545213/FLIPKART/MERCHANT PAYMENT,DR400009553079,"8,615.23",-,"234,880.80"
04/01/2025,06/01/2025,NEFT DR/TRF286957327886/ACCOUNT TRANSFER,NEFT459609600167,"9,306.67",-,"225,574.13"
06/01/2025,08/01/2025,UPI DR/UPI628509439988/DMART/MERCHANT PAYMENT,DR653162749729,"9,155.59",-,"216,418.54"
10/01/2025,10/01/2025,UPI DR/UPI707370877881/BOOKMYSHOW/MOBILEAPP,UPI302092028796,"2,065.67",-,"214,352.87"
10/01/2025,10/01/2025,UPI DR/P2P971996298813/AMAN/P2P TRANSFER,UPI409249235991,"18,371.41",-,"195,981.46"
10/01/2025,12/01/2025,CASH DEP/CSH320266246335/BRANCH DEPOSIT,CASH879427806379,-,"24,662.67","220,644.13"
12/01/2025,12/01/2025,UPI CR/P2P845241120107/NEHA/P2P RECEIVE,UPI298230824194,-,"12,551.81","233,195.94"
15/01/2025,15/01/2025,UPI CR/P2P429831435629/MEERA/P2P RECEIVE,UPI398129815982,-,166.89,"233,362.83"
15/01/2025,16/01/2025,NEFT DR/TRF385388717301/SAVINGS TRANSFER,NEFT645260752844,"6,534.94",-,"226,827.89"
19/01/2025,19/01/2025,UPI CR/UPI473522384099/AMAN/P2P RECEIVE,UPI323110805626,-,"4,335.46","231,163.35"
24/01/2025,24/01/2025,UPI DR/P2P312437667446/MEERA/P2P TRANSFER,UPI530711814987,"2,567.51",-,"228,595.84"
28/01/2025,30/01/2025,NEFT DR/TRF146466301684/ACCOUNT TRANSFER,NEFT483223678993,"30,382.86",-,"198,212.98"
31/01/2025,31/01/2025,UPI DR/UPI721243105696/UBER/MERCHANT PAYMENT,DR909912662337,93.95,-,"198,119.03"
02/02/2025,02/02/2025,NEFT CR/SAL889470524252/TCS/MONTHLY SALARY,CR324899406726,-,"28,268.00","226,387.03"
