value_date,post_date,details,ref_no,debit,credit,balance
03/01/2025,05/01/2025,CHRG DR/FEE437326290139/BANK CHARGE,CHG987396843972,168.47,-,"2,600.53"
04/01/2025,06/01/2025,UPI DR/UPI180233985229/NETFLIX/MERCHANT PAYMENT,DR528504894630,"1,613.74",-,986.79
05/01/2025,05/01/2025,IMPS CR/PKT736479967046/FAMILY SUPPORT/ROHAN,IMPS209098115634,-,"5,247.32","6,234.11"
08/01/2025,08/01/2025,UPI DR/P2P135084242540/ROHAN/P2P TRANSFER,UPI906468599180,"3,373.78",-,"2,860.33"
08/01/2025,09/01/2025,UPI CR/P2P615175884194/RAHUL/P2P RECEIVE,UPI339243011105,-,799.11,"3,659.44"
09/01/2025,10/01/2025,CHRG DR/FEE595533732899/BANK CHARGE,CHG183856343047,304.71,-,"3,354.73"
09/01/2025,10/01/2025,UPI DR/UPI663091251776/MEDPLUS/MERCHANT PAYMENT,DR356956381118,557.26,-,"2,797.47"
09/01/2025,10/01/2025,UPI DR/P2P977968483826/SNEHA/P2P TRANSFER,UPI854178137149,"2,547.47",-,250.00
10/01/2025,10/01/2025,UPI DR/UPI955960993251/SPOTIFY/MOBILEAPP,UPI397807404729,1.00,-,249.00
11/01/2025,11/01/2025,CHRG DR/FEE202218136822/BANK CHARGE,CHG300738057699,1.00,-,248.00
11/01/2025,11/01/2025,NEFT CR/SCH970314395031/SCHOLARSHIP CREDIT,CR345990587658,-,"3,388.08","3,636.08"
11/01/2025,11/01/2025,UPI DR/P2P556848870912/RAHUL/P2P TRANSFER,UPI357130558388,604.40,-,"3,031.68"
13/01/2025,15/01/2025,UPI DR/P2P683062435229/RAHUL/P2P TRANSFER,UPI746395492166,"2,781.68",-,250.00
14/01/2025,16/01/2025,UPI DR/UPI462426054015/BIGBASKET/MERCHANT PAYMENT,DR875647619585,1.00,-,249.00
15/01/2025,16/01/2025,NEFT DR/TRF713303158905/SAVINGS TRANSFER,NEFT361454302953,1.00,-,248.00
16/01/2025,16/01/2025,CHRG DR/FEE907293805716/BANK CHARGE,CHG228087630693,1.00,-,247.00
17/01/2025,17/01/2025,CASH DEP/CSH406448768655/BRANCH DEPOSIT,CASH691009478523,-,"6,496.31","6,743.31"
17/01/2025,18/01/2025,UPI DR/UPI965281126789/BIGBASKET/MERCHANT PAYMENT,DR482835660044,"1,673.91",-,"5,069.40"
18/01/2025,18/01/2025,UPI DR/UPI430494167231/DMART/MERCHANT PAYMENT,DR262838843739,459.96,-,"4,609.44"
18/01/2025,18/01/2025,UPI DR/UPI782309028799/OLA/MERCHANT PAYMENT,DR414387468861,"1,451.78",-,"3,157.66"
19/01/2025,19/01/2025,UPI CR/UPI969358573472/PRIYA/P2P RECEIVE,UPI513338648744,-,"3,843.75","7,001.41"
20/01/2025,22/01/2025,UPI CR/P2P358950221668/PRIYA/P2P RECEIVE,UPI369262313722,-,"4,512.49","11,513.90"
22/01/2025,22/01/2025,UPI DR/P2P822073795824/PRIYA/P2P TRANSFER,UPI749187715119,501.76,-,"11,012.14"
22/01/2025,23/01/2025,UPI DR/UPI112803845481/NETFLIX/MERCHANT PAYMENT,DR418487134362,947.88,-,"10,064.26"
24/01/2025,24/01/2025,UPI DR/P2P468157189067/PRIYA/P2P TRANSFER,UPI263751408064,"2,488.08",-,"7,576.18"
24/01/2025,25/01/2025,UPI DR/P2P140243568592/AMAN/P2P TRANSFER,UPI977774195685,"3,212.94",-,"4,363.24"
25/01/2025,27/01/2025,UPI DR/UPI528965253109/BOOKMYSHOW/MERCHANT PAYMENT,DR452266318582,"1,441.44",-,"2,921.80"
27/01/2025,27/01/2025,UPI DR/UPI556960195636/AMAZON/MERCHANT PAYMENT,DR370454047444,512.56,-,"2,409.24"
27/01/2025,29/01/2025,UPI DR/UPI602723012895/BOOKMYSHOW/MERCHANT PAYMENT,DR621650484526,"1,313.70",-,"1,095.54"
30/01/2025,30/01/2025,CASH DEP/CSH796289170997/BRANCH DEPOSIT,CASH731402433772,-,"1,993.22","3,088.76"
01/02/2025,03/02/2025,UPI DR/P2P616645711575/MEERA/P2P TRANSFER,UPI714392011233,"2,838.76",-,250.00
02/02/2025,03/02/2025,IMPS CR/PKT608685127619/FAMILY SUPPORT/KARAN,IMPS166695840764,-,"11,786.60","12,036.60"
02/02/2025,04/02/2025,UPI DR/UPI910639136974/APOLLO PHARMACY/MERCHANT PAYMENT,DR869286821586,"1,591.92",-,"10,444.68"
03/02/2025,05/02/2025,CHRG DR/FEE426295376309/BANK CHARGE,CHG458939266050,79.87,-,"10,364.81"
03/02/2025,05/02/2025,UPI DR/UPI335090123494/AMAZON/MERCHANT PAYMENT,DR400309022204,24.97,-,"10,339.84"
05/02/2025,06/02/2025,UPI CR/P2P114419402426/MEERA/P2P RECEIVE,UPI915499265196,-,"3,254.13","13,593.97"
06/02/2025,07/02/2025,CHRG DR/FEE691289174666/BANK CHARGE,CHG378023857252,6.43,-,"13,587.54"
06/02/2025,08/02/2025,UPI DR/UPI537688133380/OLA/MERCHANT PAYMENT,DR384318985017,"1,501.43",-,"12,086.11"
12/02/2025,13/02/2025,UPI DR/P2P639077135155/ROHAN/P2P TRANSFER,UPI773355704403,81.32,-,"12,004.79"
12/02/2025,14/02/2025,UPI DR/UPI252473028421/AMAZON/MERCHANT PAYMENT,DR243546958551,976.34,-,"11,028.45"
13/02/2025,14/02/2025,CHRG DR/FEE266589071818/BANK CHARGE,CHG782476788298,330.48,-,"10,697.97"
14/02/2025,16/02/2025,NEFT CR/SCH102729850455/SCHOLARSHIP CREDIT,CR504200103335,-,"12,244.87","22,942.84"
15/02/2025,15/02/2025,NEFT DR/TRF491228853203/ACCOUNT TRANSFER,NEFT739138251419,"22,692.84",-,250.00
15/02/2025,16/02/2025,UPI DR/P2P965015707668/ROHAN/P2P TRANSFER,UPI322568165990,1.00,-,249.00
15/02/2025,17/02/2025,UPI DR/UPI895241786801/MEDPLUS/MERCHANT PAYMENT,DR575150530099,1.00,-,248.00
17/02/2025,17/02/2025,UPI DR/UPI755920510133/BIGBASKET/MERCHANT PAYMENT,DR154229763839,1.00,-,247.00
18/02/2025,20/02/2025,CASH DEP/CSH728553474418/BRANCH DEPOSIT,CASH859797292644,-,"3,456.90","3,703.90"
19/02/2025,21/02/2025,CHRG DR/FEE265582581872/BANK CHARGE,CHG264474392350,58.88,-,"3,645.02"
23/02/2025,24/02/2025,UPI DR/P2P544274246312/RAHUL/P2P TRANSFER,UPI824897622537,820.95,-,"2,824.07"
26/02/2025,26/02/2025,UPI DR/UPI325679000741/APOLLO PHARMACY/MERCHANT PAYMENT,DR574916147029,"1,068.52",-,"1,755.55"
26/02/2025,28/02/2025,UPI DR/UPI664175268061/UBER/MERCHANT PAYMENT,DR773673844872,429.35,-,"1,326.20"
27/02/2025,27/02/2025,UPI DR/UPI164401729957/BOOKMYSHOW/MERCHANT PAYMENT,DR638358495981,"1,076.20",-,250.00
28/02/2025,01/03/2025,UPI DR/P2P784047365081/SNEHA/P2P TRANSFER,UPI263898728610,1.00,-,249.00
01/03/2025,03/03/2025,UPI DR/P2P519394301910/PRIYA/P2P TRANSFER,UPI125645750554,1.00,-,248.00
02/03/2025,03/03/2025,UPI DR/UPI832411238966/NETFLIX/MERCHANT PAYMENT,DR504387664437,1.00,-,247.00
04/03/2025,05/03/2025,NEFT DR/TRF556410602533/ACCOUNT TRANSFER,NEFT139791273697,1.00,-,246.00
04/03/2025,06/03/2025,UPI DR/P2P511791455571/ANJALI/P2P TRANSFER,UPI817022248512,1.00,-,245.00
