value_date,post_date,details,ref_no,debit,credit,balance
02/01/2025,03/01/2025,NEFT CR/INV697042157780/ORBIT RETAIL/PROJECT PAYMENT,NEFT923600955220,-,"51,621.73","84,061.73"
08/01/2025,08/01/2025,NEFT DR/TRF954390288583/ACCOUNT TRANSFER,NEFT988926653453,"49,687.03",-,"34,374.70"
10/01/2025,10/01/2025,UPI DR/UPI488564963454/SWIGGY/MOBILEAPP,UPI410105076962,348.53,-,"34,026.17"
11/01/2025,13/01/2025,UPI CR/P2P534172764678/NEHA/P2P RECEIVE,UPI306637313263,-,"19,792.51","53,818.68"
12/01/2025,13/01/2025,UPI DR/UPI946723317849/AIRTEL/MERCHANT PAYMENT,DR956461995396,"9,585.49",-,"44,233.19"
12/01/2025,14/01/2025,UPI DR/UPI498322073568/BOOKMYSHOW/MERCHANT PAYMENT,DR743149727497,"4,393.98",-,"39,839.21"
15/01/2025,15/01/2025,CASH DEP/CSH102675130985/BRANCH DEPOSIT,CASH344445499890,-,"6,556.34","46,395.55"
15/01/2025,16/01/2025,NEFT DR/TRF219263635985/SAVINGS TRANSFER,NEFT388941448512,"1,537.24",-,"44,858.31"
18/01/2025,20/01/2025,NEFT CR/INV333483714918/SKYLOGIC LLP/PROJECT CREDIT,CR546004169182,-,"92,151.53","137,009.84"
19/01/2025,19/01/2025,UPI CR/UPI150042316205/MEERA/P2P RECEIVE,UPI862067514052,-,"1,194.93","138,204.77"
22/01/2025,23/01/2025,UPI DR/UPI925098850023/JIO/MERCHANT PAYMENT,DR531571550209,"10,374.51",-,"127,830.26"
22/01/2025,24/01/2025,CASH DEP/CSH365743460640/BRANCH DEPOSIT,CASH552301264686,-,560.60,"128,390.86"
23/01/2025,23/01/2025,NEFT CR/INV101333961543/ORBIT RETAIL/PROJECT PAYMENT,NEFT444048789694,-,"52,965.10","181,355.96"
24/01/2025,24/01/2025,UPI DR/P2P947947779751/KARAN/P2P TRANSFER,UPI214144539680,"4,903.42",-,"176,452.54"
27/01/2025,28/01/2025,NEFT CR/INV760647153489/ORBIT RETAIL/PROJECT PAYMENT,NEFT942876328342,-,"63,826.18","240,278.72"
29/01/2025,29/01/2025,NEFT DR/TRF561031861524/ACCOUNT TRANSFER,NEFT886901546222,"35,602.06",-,"204,676.66"
30/01/2025,01/02/2025,CASH DEP/CSH259813744759/BRANCH DEPOSIT,CASH486830377313,-,"38,469.63","243,146.29"
30/01/2025,30/01/2025,UPI DR/UPI377853551476/UBER/MERCHANT PAYMENT,DR638481437604,"4,540.09",-,"238,606.20"
31/01/2025,02/02/2025,CHRG DR/FEE772766414637/BANK CHARGE,CHG379570255437,189.42,-,"238,416.78"
01/02/2025,02/02/2025,UPI DR/P2P642447395497/VIKAS/P2P TRANSFER,UPI543159441057,"20,544.48",-,"217,872.30"
02/02/2025,02/02/2025,CASH DEP/CSH604031862648/BRANCH DEPOSIT,CASH133272678828,-,"24,401.38","242,273.68"
02/02/2025,03/02/2025,NEFT CR/INV486549414525/URBAN FOODS/PROJECT PAYMENT,NEFT887298597601,-,"18,731.05","261,004.73"
03/02/2025,03/02/2025,UPI DR/P2P453568271180/ROHAN/P2P TRANSFER,UPI772960584084,"8,917.19",-,"252,087.54"
03/02/2025,05/02/2025,UPI DR/UPI404146711367/SWIGGY/MERCHANT PAYMENT,DR219069343864,"2,969.85",-,"249,117.69"
05/02/2025,05/02/2025,CASH DEP/CSH117084587515/BRANCH DEPOSIT,CASH846092353864,-,"21,610.48","270,728.17"
06/02/2025,06/02/2025,NEFT CR/INV581168447423/ALPHA TRADERS/PROJECT CREDIT,CR377130109249,-,"11,155.74","281,883.91"
07/02/2025,08/02/2025,UPI DR/UPI351656062547/JIO/MERCHANT PAYMENT,DR260464072737,"8,625.01",-,"273,258.90"
08/02/2025,08/02/2025,UPI DR/UPI389364099068/OLA/MERCHANT PAYMENT,DR689242578160,"4,872.73",-,"268,386.17"
08/02/2025,10/02/2025,UPI DR/P2P653635008298/ROHAN/P2P TRANSFER,UPI237253105394,"16,509.47",-,"251,876.70"
09/02/2025,09/02/2025,NEFT CR/INV167007177588/ALPHA TRADERS/PROJECT PAYMENT,NEFT803948975444,-,"28,596.85","280,473.55"
09/02/2025,11/02/2025,UPI DR/UPI902591680381/DMART/MERCHANT PAYMENT,DR112113357480,"8,886.40",-,"271,587.15"
10/02/2025,12/02/2025,NEFT CR/INV620664347626/ALPHA TRADERS/PROJECT CREDIT,CR255190154249,-,"20,721.65","292,308.80"
11/02/2025,13/02/2025,UPI DR/P2P610997637054/VIKAS/P2P TRANSFER,UPI773823883517,"19,906.22",-,"272,402.58"
13/02/2025,15/02/2025,UPI DR/UPI582477526008/JIO/MERCHANT PAYMENT,DR535425326724,"9,897.02",-,"262,505.56"
13/02/2025,15/02/2025,NEFT DR/TRF659232493358/ACCOUNT TRANSFER,NEFT856823135871,"6,000.65",-,"256,504.91"
14/02/2025,14/02/2025,UPI DR/UPI552295580465/AIRTEL/MERCHANT PAYMENT,DR471838705343,"11,281.83",-,"245,223.08"
16/02/2025,17/02/2025,NEFT CR/INV682918065973/ALPHA TRADERS/PROJECT CREDIT,CR510526904865,-,"50,622.36","295,845.44"
18/02/2025,20/02/2025,CHRG DR/FEE847239109006/BANK CHARGE,CHG948794564487,361.88,-,"295,483.56"
18/02/2025,20/02/2025,NEFT CR/INV602688846056/ALPHA TRADERS/PROJECT CREDIT,CR605491311834,-,"49,826.30","345,309.86"
18/02/2025,20/02/2025,UPI DR/UPI112177062154/DMART/MERCHANT PAYMENT,DR375497681741,"11,447.71",-,"333,862.15"
18/02/2025,20/02/2025,UPI DR/UPI999827217658/SPOTIFY/MERCHANT PAYMENT,DR955417812599,"9,317.75",-,"324,544.40"
20/02/2025,21/02/2025,UPI DR/UPI207896702514/AMAZON/MERCHANT PAYMENT,DR943111039077,"10,899.06",-,"313,645.34"
21/02/2025,23/02/2025,CASH DEP/CSH392495248302/BRANCH DEPOSIT,CASH436198109947,-,"33,750.59","347,395.93"
21/02/2025,23/02/2025,NEFT CR/INV798734306848/NEXA INFRA/PROJECT PAYMENT,NEFT184465259891,-,"78,558.26","425,954.19"
22/02/2025,23/02/2025,NEFT CR/INV531225526077/ALPHA TRADERS/PROJECT CREDIT,CR596061001095,-,"81,572.05","507,526.24"
27/02/2025,27/02/2025,UPI CR/P2P915651134769/NEHA/P2P RECEIVE,UPI124879265076,-,"5,523.70","513,049.94"
02/03/2025,02/03/2025,CHRG DR/FEE300354653378/BANK CHARGE,CHG857963160610,367.42,-,"512,682.52"
05/03/2025,07/03/2025,CASH DEP/CSH376936466123/BRANCH DEPOSIT,CASH125739188829,-,"25,793.96","538,476.48"
07/03/2025,07/03/2025,UPI DR/UPI859316595375/SPOTIFY/MERCHANT PAYMENT,DR527263610315,"8,792.60",-,"529,683.88"
08/03/2025,10/03/2025,NEFT CR/INV211546057756/URBAN FOODS/PROJECT CREDIT,CR769299766974,-,"28,459.78","558,143.66"
11/03/2025,11/03/2025,CASH DEP/CSH456756247321/BRANCH DEPOSIT,CASH597303663187,-,"13,732.70","571,876.36"
11/03/2025,13/03/2025,NEFT CR/INV583096486769/ALPHA TRADERS/PROJECT CREDIT,CR833958704489,-,"51,946.76","623,823.12"
12/03/2025,12/03/2025,CASH DEP/CSH244943419813/BRANCH DEPOSIT,CASH433549473551,-,"17,619.97","641,443.09"
12/03/2025,14/03/2025,NEFT CR/INV721433903473/ORBIT RETAIL/PROJECT CREDIT,CR540528521941,-,"37,626.92","679,070.01"
14/03/2025,16/03/2025,NEFT CR/INV866801486233/NEXA INFRA/PROJECT CREDIT,CR171152772572,-,"56,147.79","735,217.80"
14/03/2025,16/03/2025,NEFT CR/INV591030275122/URBAN FOODS/PROJECT CREDIT,CR702018039187,-,"71,479.47","806,697.27"
16/03/2025,16/03/2025,UPI DR/UPI784369894593/SWIGGY/MERCHANT PAYMENT,DR216149908386,"11,733.05",-,"794,964.22"
18/03/2025,20/03/2025,UPI DR/UPI881093345808/DMART/MERCHANT PAYMENT,DR332570379451,"3,621.89",-,"791,342.33"
19/03/2025,21/03/2025,CASH DEP/CSH105386851982/BRANCH DEPOSIT,CASH915596068106,-,"31,465.53","822,807.86"
20/03/2025,21/03/2025,UPI DR/P2P147098009611/AMAN/P2P TRANSFER,UPI818852772063,155.30,-,"822,652.56"
21/03/2025,22/03/2025,UPI DR/P2P972977950955/PRIYA/P2P TRANSFER,UPI592934312498,"5,486.37",-,"817,166.19"
24/03/2025,24/03/2025,UPI DR/UPI822750234103/JIO/MERCHANT PAYMENT,DR204346195799,"1,221.52",-,"815,944.67"
26/03/2025,27/03/2025,NEFT CR/INV925030315822/ALPHA TRADERS/PROJECT CREDIT,CR697883784792,-,"32,778.27","848,722.94"
26/03/2025,28/03/2025,NEFT DR/TRF450257366753/ACCOUNT TRANSFER,NEFT465915910650,"4,973.92",-,"843,749.02"
27/03/2025,27/03/2025,CASH DEP/CSH357106018927/BRANCH DEPOSIT,CASH321137632860,-,"36,278.88","880,027.90"
29/03/2025,30/03/2025,NEFT CR/INV436116234632/NEXA INFRA/PROJECT CREDIT,CR861394729162,-,"79,692.80","959,720.70"
31/03/2025,01/04/2025,NEFT CR/INV429259640269/ALPHA TRADERS/PROJECT PAYMENT,NEFT932000432026,-,"82,248.49","1,041,969.19"
31/03/2025,02/04/2025,CASH DEP/CSH746013159392/BRANCH DEPOSIT,CASH689038480368,-,"33,774.89","1,075,744.08"
03/04/2025,03/04/2025,NEFT DR/TRF194610241938/ACCOUNT TRANSFER,NEFT811605303823,"44,717.03",-,"1,031,027.05"
06/04/2025,07/04/2025,NEFT CR/INV701051023024/ORBIT RETAIL/PROJECT CREDIT,CR933017328007,-,"65,380.46","1,096,407.51"
06/04/2025,08/04/2025,NEFT CR/INV830205999380/ALPHA TRADERS/PROJECT PAYMENT,NEFT724626971858,-,"40,069.47","1,136,476.98"
11/04/2025,13/04/2025,NEFT DR/TRF980489113725/ACCOUNT TRANSFER,NEFT824785798669,"31,386.46",-,"1,105,090.52"
14/04/2025,16/04/2025,UPI DR/P2P523586128249/VIKAS/P2P TRANSFER,UPI789895813466,"13,357.79",-,"1,091,732.73"
15/04/2025,16/04/2025,CASH DEP/CSH618290581087/BRANCH DEPOSIT,CASH338679517122,-,"4,840.67","1,096,573.40"
